person_id,name,colleague_years,colleagues,n_cabinets,eras_served
Q2820931,Abdallah Kallel,3796.3,274,9,ben_ali|bourguiba
Q3320544,Mondher Zenaidi,3588.3,280,6,ben_ali|bourguiba
Q431515,Mohamed Ghannouchi,3509.4,299,9,ben_ali|bourguiba
Q2972023,Chédli Neffati,3468.6,267,8,ben_ali
Q3320454,Moncer Rouissi,3256.1,260,6,ben_ali|transition
Q2821241,Abderrahim Zouari,3207.5,276,5,ben_ali
Q3318622,Mohamed Jegham,3160.2,269,8,ben_ali|transition
Q19629356,Sadok Rabah,3110.1,267,7,ben_ali
Q2836180,Ali Chaouch,3109.6,259,4,ben_ali
Q2912277,Hédi M'henni,3082.8,257,4,ben_ali
TN-ameur-horchani,Ameur Horchani,3079.9,260,5,ben_ali
Q3125299,Habib Ben Yahia,3055.1,264,5,ben_ali
Q3012366,Dali Jazi,3023.1,258,6,ben_ali
Q3461169,Sadok Chaâbane,2984.1,256,5,ben_ali
Q3417419,Rafik Belhaj Kacem,2975.8,256,3,ben_ali
Q3347261,Néziha Zarrouk,2969.1,256,4,ben_ali
Q16027809,Mohamed Raouf Najar,2959.0,257,4,ben_ali
Q2821010,Abdelbaki Hermassi,2954.3,256,4,ben_ali
Q27756741,Slaheddine Maaoui,2953.4,255,3,ben_ali
Q19060346,Chedly Laroussi,2949.8,255,3,ben_ali
