era,era_label,ministers_with_known_gender,women,share_women_pct
beylical,Beylical,6,0,0.0
protectorate,Protectorate,32,0,0.0
protectorate_end,Protec. end,16,0,0.0
monarchy,Monarchy,18,0,0.0
bourguiba,Bourguiba,106,3,2.8
ben_ali,Ben Ali,211,18,8.5
transition,Transition,122,11,9.0
second_republic,2nd Republic,196,42,21.4
saied_exception,Post-2021,52,17,32.7
