era,era_label,n,Secretary of state,Minister,Minister of state / delegate,Head of government
protectorate,Protectorate,60,0.0833,0.6833,0.0333,0.2
bourguiba,Bourguiba,126,0.3651,0.5794,0.0556,0.0
ben_ali,Ben Ali,321,0.5171,0.4642,0.0156,0.0031
transition,Transition,71,0.2676,0.7324,0.0,0.0
second_republic,2nd Republic,218,0.2202,0.7661,0.0,0.0138
saied_exception,Post-2021,30,0.2333,0.7333,0.0,0.0333
