cabinet_a,cabinet_b,shared_ministers,year_a,year_b
Gouvernement Mohamed Mzali,Gouvernement Ben Ali,11,1980,1987
Gouvernement Bouden/Hachani/Madouri/Zaafrani,TN-21,11,2021,2024
TN-19,حكومة كمال المدوري,11,2021,2024
حكومة كمال المدوري,TN-21,10,2024,2024
TN-21,TN-22,10,2024,2025
Gouvernement Bourguiba II,Gouvernement Nouira,10,1956,1970
TN-21,حكومة سارة الزعفراني,10,2024,2025
Gouvernement Caïd Essebsi,TN-11,9,2011,2011
TN-05,Gouvernement Ben Ali,9,1980,1987
Gouvernement Ghannouchi I,Gouvernement Caïd Essebsi,9,1999,2011
TN-02,TN-04,9,1957,1970
Gouvernement Ladgham,Gouvernement Mohamed Mzali,9,1969,1980
TN-05,Gouvernement Hédi Baccouche I,9,1980,1987
Gouvernement Hédi Baccouche III,TN-10,9,1989,1999
TN-04,TN-05,9,1970,1980
Gouvernement Ben Ammar,Gouvernement Mohamed Salah Mzali,8,1954,1954
Gouvernement Mechichi,Gouvernement Bouden/Hachani/Madouri/Zaafrani,8,2020,2021
Gouvernement Nouira,Gouvernement Hédi Baccouche I,8,1970,1987
TN-18,حكومة نجلاء بودن,8,2020,2021
TN-18,Gouvernement Bouden/Hachani/Madouri/Zaafrani,8,2020,2021
TN-05,Gouvernement Sfar,8,1980,1986
Gouvernement Mechichi,حكومة نجلاء بودن,8,2020,2021
TN-02,TN-03,8,1957,1969
TN-03,Gouvernement Nouira,8,1969,1970
Gouvernement Ben Ali,Gouvernement Karoui,8,1987,1989
Gouvernement Hédi Baccouche I,Gouvernement Ghannouchi I,7,1987,1999
Gouvernement Bourguiba I,TN-02,7,1956,1957
Gouvernement Bourguiba II,TN-04,7,1956,1970
Gouvernement Ben Ali,TN-09,7,1987,1989
Gouvernement Hédi Baccouche II,Gouvernement Ghannouchi I,7,1988,1999
Gouvernement Slaheddine Baccouche II,Gouvernement Mohamed Salah Mzali,7,1952,1954
Gouvernement Mohamed Mzali,TN-08,7,1980,1987
Gouvernement Fakhfakh,Gouvernement Mechichi,7,2020,2020
Gouvernement Bourguiba I,TN-01,7,1956,1956
Gouvernement Bourguiba I,Gouvernement Bourguiba II,7,1956,1956
Gouvernement Chenik II,Gouvernement Ben Ammar,7,1950,1954
Gouvernement Slaheddine Baccouche II,Gouvernement Ben Ammar,7,1952,1954
Gouvernement Ben Ammar,TN-00,7,1954,1954
Gouvernement Sfar,Gouvernement Ben Ali,7,1986,1987
Gouvernement Bourguiba II,TN-03,6,1956,1969
Gouvernement Ben Ammar,TN-02,6,1954,1957
Gouvernement Ben Ali,Gouvernement Hédi Baccouche II,6,1987,1988
Gouvernement Ben Ali,TN-08,6,1987,1987
Gouvernement Mohamed Mzali,TN-06,6,1980,1986
TN-08,Gouvernement Ghannouchi I,6,1987,1999
TN-08,TN-10,6,1987,1999
Gouvernement Kaak,Gouvernement Mohamed Salah Mzali,6,1947,1954
Gouvernement Caïd Essebsi,Gouvernement Essid,6,2011,2015
Gouvernement Bouden/Hachani/Madouri/Zaafrani,TN-20,6,2021,2023
حكومة أحمد الحشاني,حكومة سارة الزعفراني,6,2023,2025
Gouvernement Essid,TN-16,6,2015,2016
Gouvernement Karoui,Gouvernement Ghannouchi II,6,1989,1999
Gouvernement Hédi Baccouche I,TN-10,6,1987,1999
Gouvernement Mechichi,حكومة كمال المدوري,6,2020,2024
TN-20,حكومة كمال المدوري,6,2023,2024
TN-04,Gouvernement Hédi Baccouche I,6,1970,1987
Gouvernement Ben Ali,TN-07,6,1987,1987
Gouvernement Mechichi,حكومة أحمد الحشاني,5,2020,2023
Gouvernement Bourguiba I,Gouvernement Ladgham,5,1956,1969
Gouvernement Hédi Baccouche II,TN-10,5,1988,1999
حكومة أحمد الحشاني,TN-22,5,2023,2025
TN-18,حكومة كمال المدوري,5,2020,2024
Gouvernement Mohamed Mzali,TN-07,5,1980,1987
Gouvernement Bourguiba II,TN-01,5,1956,1956
Gouvernement Ben Ali,Gouvernement Hédi Baccouche III,5,1987,1989
TN-02,Gouvernement Mohamed Mzali,5,1957,1980
TN-18,حكومة أحمد الحشاني,5,2020,2023
Gouvernement Sfar,TN-06,5,1986,1986
TN-10,Gouvernement Chahed,5,1999,2016
Gouvernement Mohamed Mzali,Gouvernement Hédi Baccouche II,5,1980,1988
TN-09,Gouvernement Ghannouchi II,5,1989,1999
TN-05,TN-08,5,1980,1987
Gouvernement Ladgham,TN-05,5,1969,1980
Gouvernement Kaak,Gouvernement Chenik II,4,1947,1950
Gouvernement Hédi Baccouche III,Gouvernement Ghannouchi II,4,1989,1999
Gouvernement Bourguiba I,TN-03,4,1956,1969
TN-03,TN-04,4,1969,1970
Gouvernement Nouira,Gouvernement Ben Ali,4,1970,1987
Gouvernement Ben Ammar,Gouvernement Bourguiba I,4,1954,1956
Gouvernement Caïd Essebsi,TN-15,4,2011,2015
TN-10,TN-16,4,1999,2016
Gouvernement Ghannouchi I,Gouvernement Chahed,4,1999,2016
Gouvernement Hédi Baccouche I,TN-07,4,1987,1987
Gouvernement Mohamed Mzali,TN-09,4,1980,1989
Gouvernement Jebali,Gouvernement Fakhfakh,4,2011,2020
Gouvernement Mohamed Mzali,Gouvernement Karoui,4,1980,1989
Gouvernement Sfar,Gouvernement Hédi Baccouche I,4,1986,1987
Gouvernement Nouira,TN-08,4,1970,1987
TN-04,Gouvernement Ben Ali,4,1970,1987
TN-20,حكومة أحمد الحشاني,4,2023,2023
TN-15,TN-16,4,2015,2016
TN-00,TN-02,4,1954,1957
Gouvernement Chahed,Gouvernement Fakhfakh,4,2016,2020
Gouvernement Fakhfakh,TN-18,4,2020,2020
Gouvernement Mechichi,TN-17,4,2020,2020
Gouvernement Mechichi,TN-19,3,2020,2021
Gouvernement Chahed,TN-17,3,2016,2020
Gouvernement Chahed,TN-18,3,2016,2020
TN-16,TN-18,3,2016,2020
Gouvernement Caïd Essebsi,Gouvernement Chahed,3,2011,2016
Gouvernement Jebali,TN-13,3,2011,2013
Gouvernement Caïd Essebsi,TN-16,3,2011,2016
TN-04,TN-06,3,1970,1986
Gouvernement Nouira,Gouvernement Karoui,3,1970,1989
Gouvernement Sfar,TN-07,3,1986,1987
Gouvernement Nouira,Gouvernement Hédi Baccouche II,3,1970,1988
Gouvernement Nouira,TN-09,3,1970,1989
TN-18,TN-19,3,2020,2021
Gouvernement Jebali,TN-17,3,2011,2020
TN-10,Gouvernement Essid,3,1999,2015
Gouvernement Mohamed Mzali,Gouvernement Hédi Baccouche III,3,1980,1989
TN-05,TN-06,3,1980,1986
TN-05,Gouvernement Karoui,3,1980,1989
TN-05,TN-09,3,1980,1989
TN-05,Gouvernement Hédi Baccouche II,3,1980,1988
TN-05,TN-07,3,1980,1987
Gouvernement Ben Ali,Gouvernement Ghannouchi I,3,1987,1999
TN-06,Gouvernement Ben Ali,3,1986,1987
TN-12,TN-17,3,2011,2020
TN-00,Gouvernement Bourguiba I,3,1954,1956
Gouvernement Ben Ammar,Gouvernement Bourguiba II,3,1954,1956
Gouvernement Bourguiba II,Gouvernement Mohamed Mzali,3,1956,1980
TN-03,TN-05,3,1969,1980
TN-03,Gouvernement Mohamed Mzali,3,1969,1980
Gouvernement Ben Ali,TN-10,3,1987,1999
Gouvernement Bourguiba I,Gouvernement Nouira,3,1956,1970
Gouvernement Nouira,Gouvernement Sfar,3,1970,1986
Gouvernement Nouira,TN-06,3,1970,1986
Gouvernement Ladgham,Gouvernement Hédi Baccouche I,3,1969,1987
Gouvernement Larayedh,Gouvernement Fakhfakh,3,2013,2020
Gouvernement Larayedh,TN-17,3,2013,2020
TN-13,Gouvernement Jomaa,3,2013,2014
Gouvernement Larayedh,Gouvernement Jomaa,3,2013,2014
Gouvernement Ghannouchi I,TN-16,3,1999,2016
Gouvernement Ghannouchi I,TN-11,3,1999,2011
Gouvernement Ghannouchi I,Gouvernement Essid,3,1999,2015
TN-04,Gouvernement Sfar,3,1970,1986
TN-04,TN-08,3,1970,1987
Gouvernement Ghannouchi II,Gouvernement Chahed,3,1999,2016
Gouvernement Ghannouchi II,Gouvernement Essid,3,1999,2015
TN-12,Gouvernement Fakhfakh,3,2011,2020
TN-12,TN-13,3,2011,2013
TN-10,TN-15,2,1999,2015
TN-11,Gouvernement Essid,2,2011,2015
Gouvernement Mohamed Mzali,Gouvernement Caïd Essebsi,2,1980,2011
Gouvernement Sfar,TN-08,2,1986,1987
حكومة نجلاء بودن,حكومة سارة الزعفراني,2,2021,2025
TN-07,Gouvernement Hédi Baccouche III,2,1987,1989
Gouvernement Jebali,Gouvernement Essid,2,2011,2015
TN-11,TN-15,2,2011,2015
TN-19,TN-22,2,2021,2025
Gouvernement Chenik I,Gouvernement Chenik II,2,1943,1950
حكومة نجلاء بودن,TN-22,2,2021,2025
Gouvernement Sfar,Gouvernement Hédi Baccouche III,2,1986,1989
Gouvernement Sfar,Gouvernement Hédi Baccouche II,2,1986,1988
TN-07,Gouvernement Hédi Baccouche II,2,1987,1988
TN-16,Gouvernement Mechichi,2,2016,2020
Gouvernement Mechichi,حكومة سارة الزعفراني,2,2020,2025
Gouvernement Mechichi,TN-22,2,2020,2025
Gouvernement Chahed,Gouvernement Mechichi,2,2016,2020
TN-16,Gouvernement Fakhfakh,2,2016,2020
TN-00,Gouvernement Bourguiba II,2,1954,1956
TN-07,TN-08,2,1987,1987
TN-20,حكومة سارة الزعفراني,2,2023,2025
TN-17,TN-18,2,2020,2020
TN-19,حكومة سارة الزعفراني,2,2021,2025
TN-10,Gouvernement Jebali,2,1999,2011
TN-10,TN-12,2,1999,2011
Gouvernement Ghannouchi II,TN-15,2,1999,2015
Gouvernement Ghannouchi II,TN-16,2,1999,2016
TN-10,Gouvernement Mechichi,2,1999,2020
TN-10,TN-18,2,1999,2020
Gouvernement Larayedh,TN-14,2,2013,2014
Gouvernement Jomaa,Gouvernement Chahed,2,2014,2016
Gouvernement Jomaa,TN-16,2,2014,2016
TN-14,Gouvernement Essid,2,2014,2015
Gouvernement Ladgham,Gouvernement Sfar,2,1969,1986
Gouvernement Ladgham,TN-08,2,1969,1987
TN-03,TN-08,2,1969,1987
Gouvernement Ghannouchi II,Gouvernement Jebali,2,1999,2011
TN-04,Gouvernement Karoui,2,1970,1989
TN-04,TN-09,2,1970,1989
Gouvernement Ben Ammar,TN-03,2,1954,1969
Gouvernement Ben Ammar,Gouvernement Nouira,2,1954,1970
TN-02,TN-05,2,1957,1980
Gouvernement Bourguiba II,TN-05,2,1956,1980
TN-01,TN-02,2,1956,1957
Gouvernement Ben Ammar,Gouvernement Ladgham,2,1954,1969
TN-01,Gouvernement Ladgham,2,1956,1969
TN-06,Gouvernement Hédi Baccouche II,2,1986,1988
TN-06,Gouvernement Hédi Baccouche III,2,1986,1989
TN-06,TN-09,2,1986,1989
TN-06,Gouvernement Karoui,2,1986,1989
Gouvernement Sfar,TN-09,2,1986,1989
Gouvernement Sfar,Gouvernement Karoui,2,1986,1989
TN-08,Gouvernement Ghannouchi II,2,1987,1999
Gouvernement Hédi Baccouche II,Gouvernement Ghannouchi II,2,1988,1999
TN-07,TN-09,2,1987,1989
TN-07,Gouvernement Karoui,2,1987,1989
Gouvernement Slaheddine Baccouche I,Gouvernement Mohamed Salah Mzali,2,1943,1954
Gouvernement Slaheddine Baccouche I,Gouvernement Chenik II,2,1943,1950
Gouvernement Kaak,Gouvernement Slaheddine Baccouche II,2,1947,1952
Gouvernement Kaak,Gouvernement Ben Ammar,2,1947,1954
Gouvernement Slaheddine Baccouche I,Gouvernement Kaak,2,1943,1947
Gouvernement Chenik I,Gouvernement Ben Ammar,1,1943,1954
Gouvernement Chenik I,Gouvernement Bourguiba I,1,1943,1956
Gouvernement Chenik I,TN-01,1,1943,1956
Gouvernement Kaak,Gouvernement Bourguiba II,1,1947,1956
Gouvernement Kaak,TN-02,1,1947,1957
Gouvernement Kaak,TN-03,1,1947,1969
Gouvernement Kaak,Gouvernement Ladgham,1,1947,1969
Gouvernement Kaak,Gouvernement Nouira,1,1947,1970
Gouvernement Kaak,TN-04,1,1947,1970
Gouvernement Kaak,Gouvernement Mohamed Mzali,1,1947,1980
Gouvernement Kaak,TN-05,1,1947,1980
Gouvernement Chenik II,Gouvernement Bourguiba I,1,1950,1956
Gouvernement Chenik II,Gouvernement Bourguiba II,1,1950,1956
Gouvernement Chenik II,TN-01,1,1950,1956
Gouvernement Chenik II,TN-02,1,1950,1957
Gouvernement Chenik II,TN-03,1,1950,1969
Gouvernement Chenik II,Gouvernement Ladgham,1,1950,1969
Gouvernement Chenik II,Gouvernement Nouira,1,1950,1970
Gouvernement Chenik II,TN-04,1,1950,1970
Gouvernement Chenik II,Gouvernement Mohamed Mzali,1,1950,1980
Gouvernement Chenik II,TN-05,1,1950,1980
Gouvernement Chenik II,Gouvernement Jebali,1,1950,2011
Gouvernement Chenik II,TN-12,1,1950,2011
Gouvernement Chenik II,Gouvernement Larayedh,1,1950,2013
Gouvernement Chenik II,Gouvernement Fakhfakh,1,1950,2020
TN-18,TN-20,1,2020,2023
TN-18,TN-22,1,2020,2025
TN-18,حكومة سارة الزعفراني,1,2020,2025
حكومة نجلاء بودن,TN-20,1,2021,2023
TN-20,TN-21,1,2023,2024
TN-20,TN-22,1,2023,2025
Gouvernement Hédi Baccouche I,Gouvernement Ghannouchi II,1,1987,1999
Gouvernement Hédi Baccouche I,Gouvernement Essid,1,1987,2015
Gouvernement Hédi Baccouche I,Gouvernement Mechichi,1,1987,2020
TN-08,Gouvernement Mechichi,1,1987,2020
Gouvernement Hédi Baccouche II,Gouvernement Essid,1,1988,2015
Gouvernement Hédi Baccouche II,Gouvernement Mechichi,1,1988,2020
Gouvernement Sfar,Gouvernement Caïd Essebsi,1,1986,2011
Gouvernement Sfar,TN-11,1,1986,2011
Gouvernement Sfar,Gouvernement Fakhfakh,1,1986,2020
Gouvernement Sfar,Gouvernement Mechichi,1,1986,2020
Gouvernement Sfar,TN-17,1,1986,2020
Gouvernement Sfar,TN-18,1,1986,2020
TN-06,Gouvernement Hédi Baccouche I,1,1986,1987
TN-06,TN-07,1,1986,1987
TN-06,TN-08,1,1986,1987
Gouvernement Ben Ali,Gouvernement Ghannouchi II,1,1987,1999
TN-09,Gouvernement Essid,1,1989,2015
Gouvernement Karoui,Gouvernement Essid,1,1989,2015
Gouvernement Karoui,Gouvernement Mechichi,1,1989,2020
Gouvernement Ghannouchi I,Gouvernement Jebali,1,1999,2011
Gouvernement Ghannouchi I,TN-15,1,1999,2015
Gouvernement Ghannouchi I,Gouvernement Mechichi,1,1999,2020
Gouvernement Ghannouchi I,TN-18,1,1999,2020
TN-10,TN-14,1,1999,2014
TN-10,Gouvernement Fakhfakh,1,1999,2020
Gouvernement Mohamed Mzali,Gouvernement Ghannouchi I,1,1980,1999
Gouvernement Mohamed Mzali,Gouvernement Ghannouchi II,1,1980,1999
Gouvernement Mohamed Mzali,TN-11,1,1980,2011
Gouvernement Mohamed Mzali,Gouvernement Fakhfakh,1,1980,2020
Gouvernement Mohamed Mzali,Gouvernement Mechichi,1,1980,2020
Gouvernement Mohamed Mzali,TN-17,1,1980,2020
Gouvernement Mohamed Mzali,TN-18,1,1980,2020
TN-05,Gouvernement Hédi Baccouche III,1,1980,1989
TN-05,Gouvernement Caïd Essebsi,1,1980,2011
TN-05,TN-11,1,1980,2011
Gouvernement Nouira,TN-07,1,1970,1987
Gouvernement Nouira,Gouvernement Hédi Baccouche III,1,1970,1989
Gouvernement Nouira,Gouvernement Ghannouchi I,1,1970,1999
Gouvernement Nouira,Gouvernement Ghannouchi II,1,1970,1999
Gouvernement Nouira,Gouvernement Caïd Essebsi,1,1970,2011
Gouvernement Nouira,TN-12,1,1970,2011
TN-04,TN-07,1,1970,1987
TN-04,Gouvernement Hédi Baccouche II,1,1970,1988
TN-04,Gouvernement Ghannouchi I,1,1970,1999
TN-04,TN-10,1,1970,1999
TN-04,Gouvernement Caïd Essebsi,1,1970,2011
TN-04,TN-12,1,1970,2011
Gouvernement Ghannouchi II,TN-12,1,1999,2011
Gouvernement Ghannouchi II,TN-14,1,1999,2014
Gouvernement Ghannouchi II,TN-18,1,1999,2020
Gouvernement Jebali,Gouvernement Caïd Essebsi,1,2011,2011
Gouvernement Jebali,TN-11,1,2011,2011
Gouvernement Jebali,TN-15,1,2011,2015
Gouvernement Jebali,Gouvernement Chahed,1,2011,2016
Gouvernement Jebali,TN-16,1,2011,2016
Gouvernement Caïd Essebsi,TN-14,1,2011,2014
Gouvernement Caïd Essebsi,Gouvernement Fakhfakh,1,2011,2020
Gouvernement Caïd Essebsi,Gouvernement Mechichi,1,2011,2020
Gouvernement Caïd Essebsi,TN-18,1,2011,2020
TN-11,Gouvernement Chahed,1,2011,2016
TN-11,TN-16,1,2011,2016
TN-12,Gouvernement Essid,1,2011,2015
TN-12,TN-15,1,2011,2015
Gouvernement Larayedh,Gouvernement Essid,1,2013,2015
Gouvernement Larayedh,TN-15,1,2013,2015
Gouvernement Larayedh,Gouvernement Mechichi,1,2013,2020
Gouvernement Larayedh,TN-18,1,2013,2020
Gouvernement Larayedh,Gouvernement Bouden/Hachani/Madouri/Zaafrani,1,2013,2021
Gouvernement Larayedh,حكومة نجلاء بودن,1,2013,2021
TN-13,TN-14,1,2013,2014
TN-13,Gouvernement Mechichi,1,2013,2020
TN-13,TN-18,1,2013,2020
TN-13,Gouvernement Bouden/Hachani/Madouri/Zaafrani,1,2013,2021
TN-13,حكومة نجلاء بودن,1,2013,2021
Gouvernement Jomaa,Gouvernement Essid,1,2014,2015
Gouvernement Jomaa,Gouvernement Mechichi,1,2014,2020
TN-14,Gouvernement Chahed,1,2014,2016
TN-14,TN-16,1,2014,2016
TN-03,Gouvernement Sfar,1,1969,1986
TN-03,Gouvernement Hédi Baccouche I,1,1969,1987
TN-03,Gouvernement Hédi Baccouche II,1,1969,1988
TN-03,Gouvernement Hédi Baccouche III,1,1969,1989
TN-03,TN-09,1,1969,1989
TN-03,Gouvernement Karoui,1,1969,1989
TN-03,Gouvernement Caïd Essebsi,1,1969,2011
TN-03,TN-11,1,1969,2011
TN-03,TN-12,1,1969,2011
Gouvernement Ladgham,TN-06,1,1969,1986
Gouvernement Ladgham,Gouvernement Ben Ali,1,1969,1987
Gouvernement Ladgham,Gouvernement Hédi Baccouche II,1,1969,1988
Gouvernement Ladgham,Gouvernement Hédi Baccouche III,1,1969,1989
Gouvernement Ladgham,TN-09,1,1969,1989
Gouvernement Ladgham,Gouvernement Karoui,1,1969,1989
Gouvernement Ladgham,Gouvernement Caïd Essebsi,1,1969,2011
Gouvernement Ladgham,TN-11,1,1969,2011
Gouvernement Ladgham,TN-12,1,1969,2011
Gouvernement Bourguiba I,TN-04,1,1956,1970
TN-01,TN-03,1,1956,1969
TN-01,Gouvernement Nouira,1,1956,1970
TN-02,Gouvernement Sfar,1,1957,1986
TN-02,Gouvernement Hédi Baccouche I,1,1957,1987
TN-02,Gouvernement Caïd Essebsi,1,1957,2011
TN-02,TN-11,1,1957,2011
Gouvernement Chenik II,TN-17,1,1950,2020
Gouvernement Ben Ammar,TN-04,1,1954,1970
Gouvernement Mohamed Salah Mzali,Gouvernement Bourguiba II,1,1954,1956
Gouvernement Mohamed Salah Mzali,TN-02,1,1954,1957
Gouvernement Mohamed Salah Mzali,TN-03,1,1954,1969
Gouvernement Mohamed Salah Mzali,Gouvernement Ladgham,1,1954,1969
Gouvernement Mohamed Salah Mzali,Gouvernement Nouira,1,1954,1970
Gouvernement Mohamed Salah Mzali,TN-04,1,1954,1970
Gouvernement Mohamed Salah Mzali,Gouvernement Mohamed Mzali,1,1954,1980
Gouvernement Mohamed Salah Mzali,TN-05,1,1954,1980
Gouvernement Mohamed Salah Mzali,Gouvernement Jebali,1,1954,2011
Gouvernement Mohamed Salah Mzali,TN-12,1,1954,2011
Gouvernement Mohamed Salah Mzali,Gouvernement Larayedh,1,1954,2013
TN-00,TN-03,1,1954,1969
TN-00,Gouvernement Ladgham,1,1954,1969
TN-00,Gouvernement Nouira,1,1954,1970
TN-00,TN-04,1,1954,1970
TN-14,Gouvernement Mechichi,1,2014,2020
Gouvernement Essid,Gouvernement Fakhfakh,1,2015,2020
Gouvernement Essid,TN-17,1,2015,2020
TN-15,Gouvernement Fakhfakh,1,2015,2020
TN-15,TN-17,1,2015,2020
TN-16,TN-17,1,2016,2020
Gouvernement Mechichi,TN-20,1,2020,2023
Gouvernement Slaheddine Baccouche I,TN-05,1,1943,1980
حكومة أحمد الحشاني,TN-21,1,2023,2024
Gouvernement Slaheddine Baccouche I,Gouvernement Mohamed Mzali,1,1943,1980
Gouvernement Slaheddine Baccouche I,TN-04,1,1943,1970
Gouvernement Slaheddine Baccouche I,Gouvernement Nouira,1,1943,1970
Gouvernement Slaheddine Baccouche I,Gouvernement Ladgham,1,1943,1969
Gouvernement Slaheddine Baccouche I,TN-03,1,1943,1969
Gouvernement Slaheddine Baccouche I,TN-02,1,1943,1957
Gouvernement Slaheddine Baccouche I,Gouvernement Bourguiba II,1,1943,1956
Gouvernement Slaheddine Baccouche I,Gouvernement Slaheddine Baccouche II,1,1943,1952
