cabinet_a,cabinet_b,shared_ministers,year_a,year_b
Gouvernement Ghannouchi I,TN-10,64,1999,1999
TN-09,Gouvernement Karoui,46,1989,1989
Gouvernement Chahed,TN-16,42,2016,2016
Gouvernement Karoui,Gouvernement Ghannouchi I,37,1989,1999
Gouvernement Nouira,TN-04,34,1970,1970
Gouvernement Essid,TN-15,34,2015,2015
TN-10,Gouvernement Ghannouchi II,31,1999,1999
Gouvernement Hédi Baccouche III,Gouvernement Karoui,31,1989,1989
حكومة كمال المدوري,حكومة سارة الزعفراني,29,2024,2025
TN-22,حكومة سارة الزعفراني,29,2025,2025
Gouvernement Fakhfakh,TN-17,28,2020,2020
Gouvernement Bouden/Hachani/Madouri/Zaafrani,حكومة كمال المدوري,28,2021,2024
حكومة كمال المدوري,TN-22,28,2024,2025
Gouvernement Mechichi,TN-18,28,2020,2020
Gouvernement Mohamed Mzali,TN-05,27,1980,1980
Gouvernement Bouden/Hachani/Madouri/Zaafrani,حكومة نجلاء بودن,25,2021,2021
Gouvernement Jebali,TN-12,24,2011,2011
Gouvernement Hédi Baccouche II,Gouvernement Karoui,24,1988,1989
Gouvernement Ladgham,Gouvernement Nouira,24,1969,1970
Gouvernement Karoui,TN-10,24,1989,1999
TN-09,Gouvernement Ghannouchi I,24,1989,1999
Gouvernement Bouden/Hachani/Madouri/Zaafrani,حكومة أحمد الحشاني,23,2021,2023
حكومة أحمد الحشاني,حكومة كمال المدوري,23,2023,2024
Gouvernement Jebali,Gouvernement Larayedh,23,2011,2013
Gouvernement Hédi Baccouche II,Gouvernement Hédi Baccouche III,22,1988,1989
Gouvernement Bouden/Hachani/Madouri/Zaafrani,TN-19,22,2021,2021
Gouvernement Nouira,Gouvernement Mohamed Mzali,21,1970,1980
Gouvernement Bourguiba II,TN-02,20,1956,1957
Gouvernement Hédi Baccouche I,Gouvernement Hédi Baccouche II,20,1987,1988
TN-19,حكومة نجلاء بودن,20,2021,2021
TN-09,TN-10,19,1989,1999
Gouvernement Hédi Baccouche III,TN-09,19,1989,1989
Gouvernement Jomaa,TN-14,19,2014,2014
TN-02,Gouvernement Ladgham,19,1957,1969
TN-08,Gouvernement Hédi Baccouche II,18,1987,1988
TN-08,Gouvernement Karoui,17,1987,1989
TN-12,Gouvernement Larayedh,17,2011,2013
حكومة نجلاء بودن,حكومة أحمد الحشاني,17,2021,2023
TN-10,Gouvernement Caïd Essebsi,17,1999,2011
Gouvernement Hédi Baccouche I,Gouvernement Karoui,17,1987,1989
Gouvernement Hédi Baccouche II,TN-09,17,1988,1989
TN-08,Gouvernement Hédi Baccouche III,16,1987,1989
TN-19,حكومة أحمد الحشاني,16,2021,2023
Gouvernement Hédi Baccouche I,TN-08,16,1987,1987
Gouvernement Bourguiba II,Gouvernement Ladgham,16,1956,1969
Gouvernement Ghannouchi II,Gouvernement Caïd Essebsi,15,1999,2011
Gouvernement Bouden/Hachani/Madouri/Zaafrani,حكومة سارة الزعفراني,15,2021,2025
Gouvernement Bouden/Hachani/Madouri/Zaafrani,TN-22,14,2021,2025
TN-04,Gouvernement Mohamed Mzali,14,1970,1980
Gouvernement Ladgham,TN-04,14,1969,1970
Gouvernement Essid,Gouvernement Chahed,13,2015,2016
TN-08,TN-09,13,1987,1989
Gouvernement Mohamed Mzali,Gouvernement Hédi Baccouche I,13,1980,1987
Gouvernement Ghannouchi I,Gouvernement Ghannouchi II,13,1999,1999
Gouvernement Chenik II,Gouvernement Mohamed Salah Mzali,12,1950,1954
Gouvernement Larayedh,TN-13,12,2013,2013
Gouvernement Hédi Baccouche I,TN-09,12,1987,1989
TN-03,Gouvernement Ladgham,12,1969,1969
Gouvernement Nouira,TN-05,12,1970,1980
حكومة نجلاء بودن,حكومة كمال المدوري,12,2021,2024
TN-02,Gouvernement Nouira,12,1957,1970
Gouvernement Ben Ali,Gouvernement Hédi Baccouche I,12,1987,1987
Gouvernement Hédi Baccouche I,Gouvernement Hédi Baccouche III,12,1987,1989
TN-15,Gouvernement Chahed,11,2015,2016
Gouvernement Chenik II,Gouvernement Slaheddine Baccouche II,11,1950,1952
Gouvernement Hédi Baccouche III,Gouvernement Ghannouchi I,11,1989,1999
Gouvernement Mohamed Mzali,Gouvernement Sfar,11,1980,1986
