portfolio_label,appointments,cited,share_cited
Head of government,88,56,0.6364
Information and media,43,11,0.2558
Interior,155,30,0.1935
Justice,97,18,0.1856
Finance,110,18,0.1636
Defence,102,15,0.1471
"Women, family and childhood",73,9,0.1233
Foreign affairs,158,19,0.1203
Public health,126,15,0.119
Education,120,12,0.1
Cultural affairs,106,10,0.0943
Presidency / premiership affairs,45,4,0.0889
Economy and planning,94,8,0.0851
State property and land affairs,52,4,0.0769
Trade,94,7,0.0745
"Industry, energy and mines",128,9,0.0703
Transport,101,7,0.0693
"Equipment, housing and infrastructure",111,7,0.0631
Environment,52,3,0.0577
Social affairs,107,6,0.0561
Agriculture and water resources,132,7,0.053
Higher education and scientific research,104,5,0.0481
Youth and sports,112,5,0.0446
Religious affairs,56,2,0.0357
Tourism and handicrafts,72,2,0.0278
Communication technologies and digital economy,77,1,0.013
Employment and vocational training,88,1,0.0114
