cabinet_id,year,n_members,n_women,share_women
Gouvernement Chenik I,1943,4,0,0.0
Gouvernement Slaheddine Baccouche I,1943,6,0,0.0
Gouvernement Kaak,1947,21,0,0.0
Gouvernement Chenik II,1950,24,0,0.0
Gouvernement Slaheddine Baccouche II,1952,25,0,0.0
TN-00,1954,7,0,0.0
Gouvernement Ben Ammar,1954,27,0,0.0
Gouvernement Mohamed Salah Mzali,1954,23,0,0.0
Gouvernement Bourguiba I,1956,22,0,0.0
Gouvernement Bourguiba II,1956,26,0,0.0
TN-01,1956,7,0,0.0
TN-02,1957,27,0,0.0
Gouvernement Ladgham,1969,33,0,0.0
TN-03,1969,12,0,0.0
TN-04,1970,37,0,0.0
Gouvernement Nouira,1970,70,0,0.0
Gouvernement Mohamed Mzali,1980,48,2,0.042
TN-05,1980,29,2,0.069
TN-06,1986,8,0,0.0
Gouvernement Sfar,1986,13,1,0.077
Gouvernement Ben Ali,1987,20,2,0.1
Gouvernement Hédi Baccouche I,1987,37,1,0.027
TN-08,1987,25,0,0.0
TN-07,1987,6,0,0.0
Gouvernement Hédi Baccouche II,1988,33,1,0.03
TN-09,1989,51,4,0.078
Gouvernement Hédi Baccouche III,1989,32,0,0.0
Gouvernement Karoui,1989,110,4,0.036
TN-10,1999,91,13,0.143
Gouvernement Ghannouchi I,1999,181,7,0.039
Gouvernement Ghannouchi II,1999,39,3,0.077
Gouvernement Caïd Essebsi,2011,41,2,0.049
TN-11,2011,10,0,0.0
TN-12,2011,27,3,0.111
Gouvernement Jebali,2011,44,3,0.068
TN-13,2013,14,1,0.071
Gouvernement Larayedh,2013,38,3,0.079
Gouvernement Jomaa,2014,29,2,0.069
TN-14,2014,20,2,0.1
Gouvernement Essid,2015,60,8,0.133
TN-15,2015,35,5,0.143
TN-16,2016,44,8,0.182
Gouvernement Chahed,2016,80,10,0.125
Gouvernement Fakhfakh,2020,34,6,0.176
TN-17,2020,29,5,0.172
Gouvernement Mechichi,2020,46,9,0.196
TN-18,2020,31,8,0.258
Gouvernement Bouden/Hachani/Madouri/Zaafrani,2021,57,15,0.263
TN-19,2021,23,10,0.435
حكومة نجلاء بودن,2021,26,9,0.346
حكومة أحمد الحشاني,2023,33,9,0.273
TN-20,2023,8,4,0.5
حكومة كمال المدوري,2024,48,12,0.25
TN-21,2024,11,3,0.273
TN-22,2025,30,5,0.167
حكومة سارة الزعفراني,2025,30,6,0.2
