person_id,backbone_degree,name,first_appointment
Q30104283,80,Mohamed Fadhel Khelil,1987-11-07
Q29577458,78,Mohamed Ennaceur Jbira,1974-01-14
Q2821127,63,Abdelkrim Zbidi,1999-11-17
Q431515,59,Mohamed Ghannouchi,1987-01-01
Q2820931,58,Abdallah Kallel,1987-10-02
Q3320544,56,Mondher Zenaidi,1987-10-02
Q3320454,52,Moncer Rouissi,1989-01-01
Q2972023,51,Chédli Neffati,1988-01-04
Q377921,51,Mohamed Mzali,1943-01-01
Q2821241,50,Abderrahim Zouari,1987-11-07
Q3318622,50,Mohamed Jegham,1988-01-01
Q2827482,46,Ahmed Adhoum,2011-01-01
Q1642894,45,Hédi Nouira,1954-01-01
Q3125299,45,Habib Ben Yahia,1988-07-27
Q22928978,44,Lassaad Ben Osman,1967-07-26
Q3039490,44,Driss Guiga,1969-09-08
Q282026,44,Abdelaziz Ben Dhia,1978-09-20
Q19629356,44,Sadok Rabah,1988-01-01
Q12220165,43,Slaheddine Baly,1973-06-05
Q2912277,43,Hédi M'henni,1989-09-27
Q12239816,43,Mohamed Sayah,1969-11-07
Q17425841,41,Slaheddine Ben Mbarek,1977-12-26
Q98828570,41,Leïla Jaffel,2020-01-01
Q2836180,41,Ali Chaouch,1989-09-27
Q3417419,41,Rafik Belhaj Kacem,1989-09-27
Q313539,41,Béji Caïd Essebsi,1965-07-05
Q1381809,40,Hamed Karoui,1980-04-23
Q1951854,40,Mohamed Masmoudi,1954-01-01
Q108892374,39,Sara Zaafarani,2021-01-01
TN-ameur-horchani,39,Ameur Horchani,1988-04-12
Q3347261,37,Néziha Zarrouk,1989-09-27
Q3461169,37,Sadok Chaâbane,1989-01-01
Q3012366,37,Dali Jazi,1989-01-01
Q16263000,37,Brahim Khouaja,1979-11-07
Q19060346,36,Chedly Laroussi,1989-09-27
Q2821010,36,Abdelbaki Hermassi,1989-09-27
Q27756741,36,Slaheddine Maaoui,1989-09-27
Q3461164,36,Sadok Ben Jemâa,1969-11-07
Q2374730,36,Tahar Belkhodja,1970-06-17
Q16027809,35,Mohamed Raouf Najar,1989-09-27
Q3431743,35,Ridha Grira,1989-09-27
Q653162,35,Rachid Sfar,1977-12-26
Q152369,35,Fouad Mebazaa,1973-11-28
Q19060284,34,Houcine Chouk,1989-09-27
Q60572709,34,Tahar Sioud,1989-09-27
Q3515404,34,Taoufik Baccar,1999-04-22
Q91669922,34,Mohamed Fadhel Kraiem,1980-09-04
Q98828599,33,Fethi Sellaouti,2020-01-01
Q3318336,33,Mohamed Ali Ganzoui,1989-09-27
Q54875074,33,Tijani Chelli,1969-11-07
Q12270270,33,Othman Jerandi,2013-01-01
Q2827554,33,Ahmed Friaâ,1989-01-01
Q19060320,33,Fethi Merdassi,1989-09-27
TN-unknown-54,33,كمال الحاج ساسي,1989-09-27
TN-unknown-43,33,الصادق فيالة,1989-09-27
Q60573536,33,Fethi Houidi,1989-09-27
Q2961945,32,Chedly Ayari,1969-11-07
Q3128202,31,Hassen Belkhodja,1969-09-08
TN-sadok-fayala,31,Sadok Fayala,1991-10-11
TN-kamel-haj-sassi,31,Kamel Haj Sassi,1993-08-06
TN-fethi-houidi,30,Mohamed Fethi Houidi,1991-08-28
TN-mohamed-ali-ganzoui,30,Mohamed Ali Ganzoui,1995-01-25
Q3277819,30,Mahmoud Mestiri,1981-08-10
Q98828560,30,Kamel Deguiche,2020-01-01
Q744499,30,Mansour Moalla,1969-09-08
Q2268624,29,Chedli Klibi,1961-10-07
Q2827624,29,Ahmed Mestiri,1956-04-15
Q12246948,29,Mohamed Chaker,1979-11-07
Q25391268,28,Youssef Chahed,2015-01-01
Q28105062,27,Mohamed Trabelsi,2016-01-01
Q109045280,27,Mohamed Ali Nafti,2020-09-02
Q2820925,27,Abdallah Farhat,1964-11-12
Q98828355,25,Taoufik Charfeddine,2020-01-01
Q3144591,25,Hédi Khefacha,1958-12-30
Q52450891,24,Amel Moussa Belhaj,2021-01-01
Q108892366,24,Mohamed Moez Belhassine,2021-01-01
Q109544397,24,Mohamed Rekik,2021-01-01
Q3318545,24,Mohamed Fitouri,1970-11-06
Q1043040,24,Kamel Morjane,1999-11-17
Q108883556,24,Imed Memmich,2021-01-01
Q108892383,24,Leila Chikhaoui,2021-01-01
Q108892377,24,Moncef Boukthir,2021-01-01
Q16117997,24,Abderrazak Rassâa,1956-04-15
Q86329266,23,Ali Mrabet,2021-01-01
Q108159069,23,Sihem Boughdiri,2021-01-01
Q16262803,23,Dhaoui Hannablia,1971-10-29
Q108163613,23,Nizar Ben Néji,2021-01-01
Q19544121,22,Majdouline Cherni,2015-01-01
Q2820991,22,Abdelaziz Lasram,1974-09-25
Q3320650,21,Mongi Kooli,1974-11-05
Q29580479,21,Mohamed Jalel Ghedira,1970-11-02
Q136257453,21,Samir Abdelhafidh,2021-01-01
Q108892351,21,Rabie Majidi,2021-01-01
Q108892387,21,Hayet Guettat,2021-01-01
Q108892347,21,Malek Ezzahi,2021-01-01
TN-hedi-zeghal,21,Hédi Zeghal,1974-11-05
Q108892355,21,Ibrahim Chaibi,2021-01-01
Q108865358,21,Samir Saïed,2021-01-01
Q3125288,20,Habib Ammar,1987-01-01
Q30224903,20,Akissa Bahri,2020-01-01
Q16588807,20,Mohamed Fraj Chedly,1980-04-23
TN-moncef-bel-hadj-amor,20,Moncef Bel Hadj Amor,1976-05-31
Q19544932,20,Zied Ladhari,2015-01-01
Q507856,20,Habib Boularès,1970-06-12
Q88485687,19,Hichem Mechichi,2020-01-01
Q800238,19,Bahi Ladgham,1956-04-15
Q12184481,18,Béchir Ben Slama,1981-01-02
Q121360095,18,Abderrazak Kéfi,1983-06-18
Q26834002,18,Anouar Maârouf,2016-01-01
Q2826117,18,Afif Chelbi,1999-11-17
Q108741355,18,Najla Bouden,2021-01-01
