person_id,backbone_degree,name,first_appointment
Q108892363,18,Neila Gonji,2021-01-01
Q3128235,17,Hassib Ben Ammar,1970-06-12
Q2827512,17,Ahmed Ben Salah,1957-07-29
Q124353858,17,Feryel Ouerghi,2021-01-01
TN-unknown-108,17,بكار التوزاني,1970-06-17
Q48757077,17,Amor Rourou,1979-11-07
Q60573416,17,الحبيب بن الشيخ,1970-06-17
Q3951110,17,Ismaïl Khelil,1983-06-18
Q16855080,17,Chiheb Ben Ahmed,2014-01-01
Q308017,17,Abdelwahab Abdallah,1987-01-01
Q16666837,17,Nouri Zorgati,1987-01-01
Q140077197,16,Abdelmonem Belati,2021-01-01
Q116206588,16,Kalthoum Ben Rejeb,2021-01-01
Q50285534,15,Souad Lyagoubi,1983-11-01
Q130344076,15,Khaled Nouri,2021-01-01
Q3125307,15,Habib M'barek,1999-11-17
Q3220052,15,Lazhar Bououni,1999-11-17
Q496165,15,Mahmoud Messadi,1958-05-06
Q3334855,15,Nadhir Hamada,1999-11-17
Q643348,15,Habib Bourguiba,1956-04-11
Q3486677,15,Slim Chaker,2011-01-01
Q16325226,15,Boubaker El Akhzouri,1999-11-17
Q2929705,15,Béchir Tekkari,1999-11-17
Q121356281,14,Ahmed Bennour,1974-01-14
Q2820994,14,Abdelaziz Mathari,1977-12-26
Q138863507,14,Noureddine Nouri,2021-01-01
Q132633142,14,Habib Abid,2021-01-01
Q2827664,14,Ahmed Smaoui,1988-01-01
Q379778,14,Amina Srarfi,2021-01-01
Q20643083,14,Mohamed Yalaoui,1978-09-20
Q118382993,14,Mustapha Ferjani,2021-01-01
Q132633117,14,Ahmed Bouhali,2021-01-01
Q132560774,14,Asma Jebri,2021-01-01
Q129810051,14,Khaled Sehili,2021-01-01
Q132560656,14,Mechket Slama,2021-01-01
Q19345818,14,Selma Elloumi,2015-01-01
Q15055101,14,Mustapha Bouaziz,1989-09-27
Q21996842,14,Hédi Majdoub,2015-01-01
Q23017371,14,Mohamed Salah Arfaoui,2015-01-01
Q22211169,14,Anis Ghedira,2015-01-01
Q19248970,14,Farhat Horchani,2015-01-01
Q30728289,14,Ali Chebbi,1989-09-27
Q3196140,14,Khemaies Jhinaoui,2015-01-01
Q3067195,14,Fathi Zouhir,1954-01-01
Q3320538,14,Mondher Ben Ammar,1961-01-03
Q2827627,13,Ahmed Noureddine,1958-12-30
Q3461176,13,Sadok Mokaddem,1954-01-01
Q3470859,13,Samira Merai,2015-01-01
Q54875084,13,Salah Ben M'Barka,1983-06-18
Q3318702,13,Mohamed Mehdi Mlika,1989-09-27
Q3344886,13,Noureddine Hached,1985-10-23
Q29440996,13,Ezzeddine Chelbi,1983-06-18
Q27179077,13,Farhat Dachraoui,1971-10-29
Q43654658,13,Mustapha Masmoudi,1974-09-25
Q1530765,13,Habib Chatti,1974-01-14
Q16639035,13,Ghazi Jeribi,2014-01-01
Q134414603,13,Soufiane Tekaya,2021-01-01
Q4167838,13,Abdelhamid Escheikh,1988-01-01
Q12230326,13,Fethia Mzali,1983-11-01
Q109041047,12,Kamel Doukh,2020-01-01
Q12217102,12,Sihem Ayadi,2020-09-02
Q109045290,12,Mohamed Bousaïd,2020-01-01
Q19848008,12,Moez Chakchouk,2020-01-01
Q98828537,12,Olfa Benouda,2020-01-01
Q28869633,12,Lamia Zribi,2015-01-01
Q563204,12,Mongi Slim,1954-01-01
Q16027761,12,Ridha Ben Ali,1984-10-29
Q98844443,12,Imen Houimel,2020-01-01
Q19956225,12,Néji Jalloul,2015-01-01
Q3516543,11,Taïeb Mehiri,1956-04-15
Q54875068,11,Taoufik Cheikhrouhou,1987-01-01
Q54875092,11,صالح الجبالي,1987-10-02
Q1363916,11,Hédi Baccouche,1984-03-14
Q3328946,11,Mustapha Filali,1956-04-15
Q3216753,11,Lamine Chebbi,1956-04-15
Q3474776,11,Saïd Aïdi,2011-01-01
Q3571955,11,Yassine Brahim,2011-01-01
Q97961043,11,Mohamed Ali Bouleymane,1988-04-12
Q125337883,10,Fatma Thabet,2021-01-01
Q139583145,10,Mohamed El Béji Hamda,1990-03-03
Q204487,10,Zine El Abidine Ben Ali,1984-10-29
Q2655671,10,Mohamed Ghenima,1972-03-04
Q16262805,10,Mohamed Jeddi,1956-04-15
Q586623,10,Habib Bourguiba Jr.,1964-11-12
Q2875109,10,Azedine Beschaouch,2011-01-01
Q3304500,10,Mehdi Houas,2011-01-01
Q3066858,10,Farhat Rajhi,2011-01-01
Q3125336,10,Habiba Zéhi Ben Romdhane,2011-01-01
Q16267906,10,Jalloul Ayed,2011-01-01
Q18399544,10,Hamouda Ben Slama,1988-01-01
Q3319366,10,Mokhtar Jallali,2011-01-01
Q401426,10,Ahmed Ounaies,2011-01-27
Q55196894,9,Abdelmalek Laârif,1988-01-01
TN-amor-bejaoui,9,Amor Bejaoui,1988-04-27
TN-amor-ben-romdhan,9,Amor Ben Romdhan,1988-01-04
Q16180628,9,Abdallah Kaâbi,1999-11-17
Q136456985,9,Slah Zouari,2021-01-01
Q104821906,9,Habib Ammar,2020-09-02
TN-abdessalem-mseddi,9,Abdessalem Mseddi,1987-11-07
Q60573369,8,عبد الرزاق الكافي,1987-10-02
TN-unknown-15,8,محجوب بن علي,1987-10-02
Q12194585,8,Hédi Mabrouk,1986-09-15
Q16325262,8,Ezzeddine Abassi,1954-01-01
TN-houcine-cherif,8,Houcine Cherif,1987-01-01
Q98828362,8,Ali Kooli,2020-01-01
Q2388455,7,Taïeb Baccouche,2011-01-01
Q27758476,7,Khaled Chouket,2015-01-01
Q44403762,7,Monia Ben Jemia,2016-01-01
Q3320430,7,Moncef Belkhodja,1980-07-12
Q3128291,7,Hatem Ben Salem,1999-11-17
Q28654181,7,Slim Khalbous,2016-01-01
Q26905827,7,Néziha Labidi,2016-01-01
Q3431740,7,Ridha Chalghoum,1999-11-17
Q18610883,7,Hédi Bouricha,1980-04-23
Q28502176,7,Mohamed Zine El Abidine,2016-01-01
Q3470847,7,Samir Taïeb,2016-01-01
TN-baccar-touzani,6,Baccar Touzani,1970-06-17
Q16267511,6,Faïza Kefi,1999-04-22
Q2855981,6,Ferjani Bel Haj Ammar,1956-04-15
TN-bechir-ennaji,6,Béchir Ennaji,1957-01-01
Q3320424,6,Moncef Bel Hadj Amor,1980-04-23
TN-mezri-chekir,6,Mezri Chekir,1980-12-03
Q55392091,6,Hédi Zeghal,1980-04-23
Q28653580,6,Riadh Mouakher,2016-01-01
Q27666209,6,Imed Hammami,2016-01-01
TN-habib-ben-cheikh,6,Habib Ben Cheikh,1970-06-17
TN-unknown-3,5,وائل  شوشان,2023-08-01
TN-unknown-41,5,علي الحفصي جدي,2020-02-27
TN-georges-gaston-puis-lucien-paye-a-partir,5,Georges Gaston puis Lucien Paye à partir du,1947-01-01
Q19060293,5,Slaheddine Belaïd,1997-10-09
Q2836376,5,Ali Zouaoui,1970-11-10
TN-henri-culmann-puis-jean-gaston-fraisse-a,5,Henri Culmann puis Jean-Gaston Fraissé à partir du,1947-01-01
TN-unknown-120,5,مصطفى الزعنوني,1970-11-02
TN-unknown-121,5,فرج الجباس,1970-11-02
TN-unknown-119,5,المكي الزيدي,1970-11-02
Q99528084,5,Mohamed Rachid Kechiche,1999-11-17
Q108892375,5,Nasreddine Nsibi,2021-01-01
TN-unknown-13,5,رياض    شَوِد,2023-08-01
Q20047058,4,Ahmed Chtourou,1971-10-29
Q12240251,4,Mohamed Bellalouna,1971-10-29
Q107707866,4,Ridha Gharsalloui,2021-07-29
Q108892359,4,Fadhila Rebhi,2021-01-01
TN-louis-cartry,4,Louis Cartry,1950-01-01
Q3217980,4,Laroussi Mizouri,2011-01-01
Q108892344,4,Mahmoud Elyes Hamza,2021-01-01
TN-jean-mathieu,4,Jean Mathieu,1950-01-01
Q517946,4,Lazhar Karoui Chebbi,2011-01-01
Q3240795,4,Lilia Labidi,2011-01-01
Q12239765,4,Mohamed Snoussi,1969-09-06
Q55381692,4,Omar Béhi,2016-01-01
Q19060286,4,Moncef Ben Abdallah,1997-10-11
Q43304124,4,Slim Feriani,2016-01-01
Q30728498,4,Radhouane Ayara,2016-01-01
Q16664915,4,Mohamed Ben Rejeb,1989-09-27
Q85822499,4,Thouraya Jeribi Khémiri,2020-01-01
TN-andre-blanchard,4,Jean Dèze puis André Blanchard à partir du,1950-01-01
Q2929686,4,Béchir M'hedhbi,1971-10-23
Q3328959,4,Mustapha Kamel Nabli,1989-09-27
Q2821037,3,Abdelhakim Bouraoui,1999-05-04
Q7480522,3,Lotfi Ben Jeddou,2013-01-01
Q25451027,3,Taoufik Bouderbala,1999-11-17
Q19631455,3,Bochra Belhaj Hmida,1995-01-01
Q16664925,3,Mohamed Jeri,1988-01-01
Q29816892,3,Hatem Ben Othman,1989-09-27
Q3571283,3,Yadh Ben Achour,1999-11-17
Q2821012,3,Abdelfattah Amor,1999-11-17
TN-abdellatif-saddam,3,Abdellatif Saddem,1999-04-23
Q19060337,3,Samira Khayach Belhaj,1999-11-17
Q3318509,3,Mohamed El Aziz Ben Achour,1999-11-17
Q3331032,3,Amor Chadli,1986-05-06
Q55392087,3,Salah Baccari,1989-09-27
Q3486507,3,Slaheddine Bouguerra,1989-09-27
Q12240636,3,Mohamed Salah Ayari,1986-02-12
Q15304780,3,Mehdi Jomaa,2013-01-01
Q91649459,3,Oussama Kheriji,2020-01-01
Q28018980,3,Sana Ben Achour,2008-11-01
Q16127215,3,Zakaria Ben Mustapha,1986-05-12
TN-abdelhamid-sassi,2,Abdelhamid Sassi et Larbi Mallakh,1971-10-29
Q3331012,2,Abdelmajid Chaker,1962-04-03
Q138913276,2,Fethi Zouhair Nouri,2024-02-15
Q3318475,2,Mohamed Charfi,1989-01-01
Q53025434,2,Yosra Frawes,2018-04-01
Q53015850,2,Marouane Abassi,2018-02-16
Q99539200,2,Faouzi Mehdi,2020-01-01
Q136769587,2,Saïda Rached,2013-11-01
Q15829893,2,Mongi Hamdi,2014-01-01
Q98828346,2,Brahim Bartagi,2020-01-01
Q121088468,2,Ahmed Hachani,2021-01-01
Q16802173,2,Ahmed Ammar Younbaii,2014-01-01
TN-fredj-jabbes,2,Fredj Jabbes,1971-10-29
Q19956346,2,Sadok Korbi,1999-11-17
TN-abderrahman-ben-messaoud,2,Abderrahman Ben Messaoud,1971-10-29
TN-taieb-slim,2,Taïeb Slim,1971-10-29
TN-mustapha-zaanouni,2,Mustapha Zaanouni,1971-10-29
TN-mekki-zidi,2,Mekki Zidi,1971-10-29
TN-hamed-zeghal,2,Hamed Zeghal,1971-10-29
Q38346104,2,Néziha Mezhoud,1989-09-27
TN-abdelaziz-beltaief,2,Abdelaziz Beltaïef,1970-06-17
Q3320646,2,Mongi Bousnina,1989-09-27
Q3318530,2,Mohamed Ennaceur,1974-01-14
Q54875069,2,Tahar Azaiez,1988-07-27
Q16666543,1,Nidhal Ouerfelli,2013-03-13
TN-unknown-96,1,قاسم بوسنينة,1989-09-27
TN-unknown-98,1,محسن بوجبل,1989-09-27
Q16120212,1,Mohamed Salah Ben Ammar,2014-01-01
Q16855223,1,Fathi Jarray,2014-01-01
Q15703367,1,Amel Karboul,2014-01-01
Q16666273,1,Nejla Moalla Harrouch,2014-01-01
Q16855250,1,Hafedh Laamouri,2014-01-01
Q16679067,1,Tawfik Jelassi,2014-01-01
TN-unknown-105,1,صالح بريك الحناشي,1989-09-27
TN-unknown-106,1,صالح الحمدي,1989-09-27
TN-unknown-99,1,عامر الحرشاني,1989-09-27
Q16855252,1,Lassaad Lachaal,2014-01-01
Q16855104,1,Saber Bouatay,2014-01-01
TN-unknown-97,1,محمد عمامو,1989-09-27
Q16123702,1,Kamel Ben Naceur,2014-01-01
Q3125835,1,Hakim Ben Hammouda,2014-01-01
Q16665400,1,Mounir Tlili,2014-01-01
Q16027763,1,Hafedh Ben Salah,2014-01-01
Q3470845,1,Samir Lâabidi,1999-11-17
Q3431745,1,Ridha Touiti,1999-11-17
Q2821297,1,Abdessalem Mansour,1999-11-17
Q3473691,1,Sarra Kanoun Jarraya,1999-11-17
Q3277799,1,Mahmoud El Materi,1943-01-01
Q2821273,1,Mohamed Abderraouf El Basti,1999-11-17
Q16268984,1,El Hadj Gley,1999-11-17
Q24690603,1,Jalloul Jeribi,1999-11-17
Q20417790,1,René Trabelsi,2016-01-01
Q18398343,1,Mohamed Karim El Jamoussi,2014-01-29
Q10591389,1,Iyed Dahmani,2016-01-01
TN-slaheddine-abdallah,1,Slaheddine Abdallah,1973-09-04
TN-hechmi-kooli,1,Héchmi Kooli,1974-09-25
TN-mahmoud-maamouri,1,Mahmoud Maamouri,1974-03-07
TN-abdelaziz-hamzaoui,1,Abdelaziz Hamzaoui,1973-11-05
Q38259407,1,Néziha Ben Yedder,1999-11-17
Q3486513,1,Slaheddine Malouche,1999-11-17
Q60573413,1,Khalil Laâjimi,1999-11-17
Q3486689,1,Slim Tlatli,1999-11-17
Q38213221,1,Saloua Ayachi Labben,1999-11-17
Q30729047,1,Mabrouk Korchid,2016-01-01
Q30729169,1,Hichem Ben Ahmed,2016-01-01
Q27665914,1,Fadhel Abdelkefi,2016-01-01
Q22282799,1,Hela Cheikhrouhou,2016-01-01
Q92332624,1,Ahmed Gaâloul,2016-01-01
Q62601798,1,Hédi Mekni,2016-01-01
Q61598250,1,Noureddine Selmi,2016-01-01
Q61588042,1,Mokhtar Hammami,2016-01-01
Q54875067,1,Faouzi Abderrahmane,2016-01-01
Q56309568,1,Hichem Fourati,2016-01-01
Q51460814,1,Khaled Kaddour,2016-01-01
Q50099224,1,Lotfi Brahem,2016-01-01
Q30118294,1,Chokri Belhassen,2016-01-01
Q99543891,1,Moncef Belaïd,1988-01-01
Q17580016,1,Mabrouk Bahri,1989-09-27
Q19060319,1,Slaheddine Cherif,1989-09-27
Q327007,1,Mohamed Ben Ahmed Abdelghani,1989-09-27
Q3126302,1,Hamadi Khouini,1989-09-27
Q42311056,1,Sonia Ben Cheikh,2016-01-01
Q25453450,1,Sayida Ounissi,2016-01-01
Q3337614,1,Nebiha Gueddana,1989-09-27
Q2688070,1,Saïd Ben Moustapha,1989-09-27
Q55392103,1,محمد سعد,1989-09-27
Q55391329,1,المولدي الزواوي,1989-09-27
Q60573013,1,Mohamed Charfeddine Gallouz,1989-09-27
Q60573385,1,الطاهر الحاج علي,1989-09-27
Q60573426,1,الحبيب الأزرق,1989-09-27
Q55392107,1,المنصف بلعيد,1989-09-27
Q60576591,1,Ahmed Khaled,1989-09-27
TN-unknown-100,1,محمد العربي المحجوبي,1989-09-27
TN-unknown-102,1,الهادي القريوي,1989-09-27
TN-unknown-101,1,محمد الحبيب الحاج سعيد,1989-09-27
TN-unknown-103,1,نور الدين المجدوب,1989-09-27
TN-unknown-104,1,منجي صفرة,1989-09-27
Q16855255,1,Hédi Larbi,2014-01-01
Q16889653,1,Mourad Sakli,2014-01-01
Q99574115,1,Mohamed Bousseta,2020-01-01
Q98828591,1,Mustapha Aroui,2020-01-01
TN-ali-hafsi-jeddi,1,Ali Hafsi Jeddi,2021-10-11
Q3357601,1,Othman Kechrid,1977-12-27
TN-unknown,1,سفيان  بن الصادق,2024-08-07
TN-unknown-10,1,سفيان الهميسي,2024-08-07
TN-unknown-11,1,رشيد  عامري,2024-08-07
TN-unknown-12,1,وجدي  الهذيلي,2024-08-07
TN-unknown-14,1,حسنة   جيب الله,2024-08-07
TN-unknown-2,1,محمد بن عياد,2024-08-07
TN-unknown-4,1,عصام   الأحمر,2024-08-07
TN-unknown-5,1,سمير عبيد,2024-08-07
TN-unknown-6,1,عز الدين بن الشيخ,2024-08-07
TN-unknown-7,1,حمادي  الحبيّب,2024-08-07
TN-unknown-8,1,منذر بلعيد,2024-08-07
TN-unknown-9,1,الصادق المورالي,2024-08-07
