period_a,period_b,shared
Ben Ali 1987–2011,2011–2021,74
2011–2021,Post-2021,44
Bourguiba 1957–87,Ben Ali 1987–2011,28
Pre-1957,Bourguiba 1957–87,21
Pre-1957,Ben Ali 1987–2011,7
Bourguiba 1957–87,2011–2021,7
Pre-1957,2011–2021,2
