era,era_label,n,q1,median,q3
protectorate,Protectorate,28,45.0,55.4,60.2
bourguiba,Bourguiba,81,41.1,46.2,50.6
ben_ali,Ben Ali,171,43.6,48.8,54.1
transition,Transition,57,48.4,51.3,57.5
second_republic,2nd Republic,156,46.9,52.8,59.3
