era,era_label,cohort,documented,Diplomat,Academic,Engineer,Lawyer
protectorate,Protectorate,60,12,0.3333,0.0833,0.1667,0.4167
bourguiba,Bourguiba,126,37,0.6757,0.0811,0.1081,0.1892
ben_ali,Ben Ali,321,98,0.449,0.3673,0.1122,0.1939
transition,Transition,71,35,0.0857,0.3429,0.2286,0.3429
second_republic,2nd Republic,218,66,0.0758,0.4242,0.2879,0.1667
