predecessor_tenure,handovers,q1,median_successor_years,q3
<1y,276,0.91,1.56,3.94
1–2y,324,0.79,1.46,3.06
2–4y,296,0.98,1.92,2.81
4–8y,246,1.3,2.85,5.35
8y+,422,3.09,5.69,8.18
