era,era_label,cohort,documented,Destour family,Ennahdha,Nidaa Tounes,No party
protectorate,Protectorate,60,14,0.7857,0.0714,0.0,0.0
bourguiba,Bourguiba,126,68,0.9265,0.0,0.0735,0.0
ben_ali,Ben Ali,321,112,0.6339,0.0982,0.1161,0.0357
transition,Transition,71,27,0.037,0.2593,0.037,0.2963
second_republic,2nd Republic,218,90,0.0333,0.1778,0.1889,0.3333
