era,era_label,n,Secretary of state,Minister,Minister of state / delegate,Head of government
protectorate,Protectorate,99,0.06060606060606061,0.696969696969697,0.030303030303030304,0.21212121212121213
protectorate_end,Protec. end,38,0.05263157894736842,0.7368421052631579,0.07894736842105263,0.13157894736842105
monarchy,Monarchy,46,0.17391304347826086,0.6739130434782609,0.08695652173913043,0.06521739130434782
bourguiba,Bourguiba,602,0.1461794019933555,0.7840531561461794,0.03156146179401993,0.03820598006644518
ben_ali,Ben Ali,1078,0.2792207792207792,0.6827458256029685,0.021335807050092765,0.016697588126159554
transition,Transition,314,0.07643312101910828,0.8789808917197452,0.0,0.044585987261146494
second_republic,2nd Republic,661,0.10892586989409984,0.8532526475037822,0.006051437216338881,0.03177004538577912
saied_exception,Post-2021,239,0.08786610878661087,0.8535564853556485,0.0,0.058577405857740586
