era,Protectorate,Protec. end,Monarchy,Bourguiba,Ben Ali,Transition,2nd Republic,Post-2021
Protectorate,61,11,5,9,4,1,1,0
Protec. end,11,23,5,11,3,0,0,0
Monarchy,5,5,24,12,0,0,0,0
Bourguiba,9,11,12,147,28,5,2,0
Ben Ali,4,3,0,28,351,65,19,0
Transition,1,0,0,5,65,137,17,1
2nd Republic,1,0,0,2,19,17,246,44
Post-2021,0,0,0,0,0,1,44,74
