portfolio,portfolio_label,person_id,person_name,start,end
defence,Defence,Q643348,Habib Bourguiba,1956-04-14,1957-07-29
defence,Defence,Q800238,Bahi Ladgham,1957-07-29,1966-06-24
defence,Defence,Q2827624,Ahmed Mestiri,1966-06-24,1968-01-29
defence,Defence,Q377921,Mohamed Mzali,1968-04-12,1969-11-07
defence,Defence,Q313539,Béji Caïd Essebsi,1969-11-07,1970-06-12
defence,Defence,Q3128235,حسيب بن عمار,1970-06-12,1971-10-23
defence,Defence,Q2929686,Béchir Mhedhebi,1971-10-23,1972-06-09
defence,Defence,Q2820925,Abdallah Farhat,1972-06-09,1974-01-14
defence,Defence,Q3144591,Hédi Khefacha,1974-01-14,1979-09-12
defence,Defence,Q653162,Rachid Sfar,1979-09-12,1980-04-23
defence,Defence,Q12220165,Slaheddine Baly,1980-04-23,1988-04-11
defence,Defence,Q2820931,Abdallah Kallel,1988-04-11,1991-02-20
defence,Defence,Q507856,Habib Boularès,1991-02-20,1991-10-10
defence,Defence,Q282026,Abdelaziz Ben Dhia,1991-10-10,1997-01-22
defence,Defence,Q3125299,Habib Ben Yahia,1997-01-22,1999-11-17
defence,Defence,Q3318622,Mohamed Jegham,1999-11-17,2001-01-23
defence,Defence,TN-chokri-ayachi,Chokri Ayachi,2001-01-23,2004-11-10
defence,Defence,Q2912277,Hédi M'henni,2004-11-10,2005-08-17
defence,Defence,Q1043040,Kamel Morjane,2005-08-17,2010-01-14
defence,Defence,Q3431743,Ridha Grira,2010-01-14,2011-01-27
defence,Defence,Q2821127,Abdelkrim Zbidi,2011-01-27,2013-03-13
defence,Defence,Q9344006,Rachid Sabbagh,2013-03-13,2014-01-29
defence,Defence,Q16639035,Ghazi Jeribi,2014-01-29,2015-02-06
defence,Defence,Q19248970,Farhat Horchani,2015-02-06,2017-09-06
defence,Defence,Q2821127,Abdelkrim Zbidi,2017-09-06,2019-10-29
defence,Defence,Q18398343,Mohamed Karim El Jamoussi,2019-10-29,2020-02-27
defence,Defence,Q89844681,Imed Hazgui,2020-02-27,2020-09-02
defence,Defence,Q98828346,Brahim Bartagi,2020-09-02,2021-07-26
defence,Defence,Q108883556,Imed Memmich,2021-10-11,2024-08-25
defence,Defence,Q129810051,Khaled Sehili,2024-08-25,2026-08-26
finance,Finance,Q1642894,Hédi Nouira,1955-09-07,1958-09-30
finance,Finance,Q800238,Bahi Ladgham,1958-09-30,1958-12-30
finance,Finance,Q2827624,Ahmed Mestiri,1958-12-30,1960-08-02
finance,Finance,Q800238,Bahi Ladgham,1960-08-02,1960-10-04
finance,Finance,Q3144591,Hédi Khefacha,1960-10-04,1961-01-03
finance,Finance,Q2827512,Ahmed Ben Salah,1961-01-30,1969-09-08
finance,Finance,Q16117997,Abderrazak Rassâa,1969-09-08,1971-10-29
finance,Finance,Q3318545,Mohamed Fitouri,1971-10-29,1977-12-26
finance,Finance,Q2820994,Abdelaziz Mathari,1977-12-26,1980-04-23
finance,Finance,Q744499,Mansour Moalla,1980-04-23,1983-06-18
finance,Finance,Q54875084,Salah Ben M'Barka,1983-06-18,1986-04-28
finance,Finance,Q653162,Rachid Sfar,1986-04-28,1986-07-08
finance,Finance,Q3951110,Ismaïl Khelil,1986-07-08,1987-10-27
finance,Finance,Q16666837,Nouri Zorgati,1987-10-27,1989-04-11
finance,Finance,Q431515,Mohamed Ghannouchi,1989-09-27,1990-03-03
finance,Finance,TN-mouldi-zouaoui,Mouldi Zouaoui,1990-03-03,1992-06-09
finance,Finance,Q16666837,Nouri Zorgati,1992-06-09,1997-01-22
finance,Finance,Q16664925,Mohamed Jeri,1997-01-22,1999-04-22
finance,Finance,Q3515404,Taoufik Baccar,1999-04-22,1999-11-17
finance,Finance,Q16321385,Mounir Jaïdane,1999-11-17,2001-01-23
finance,Finance,TN-moncef-bouden,Moncef Bouden,2001-01-23,2004-03-22
finance,Finance,Q99528084,Mohamed Rachid Kechiche,2004-03-22,2010-01-14
finance,Finance,Q3431740,Ridha Chalghoum,2010-01-14,2011-01-27
finance,Finance,Q16267906,Jalloul Ayed,2011-01-27,2011-12-24
finance,Finance,Q3141381,Houssine Dimassi,2011-12-24,2012-07-27
finance,Finance,Q3486675,Slim Besbes,2012-07-27,2012-12-19
finance,Finance,Q3051875,Elyes Fakhfakh,2012-12-19,2014-01-29
finance,Finance,Q3125835,Hakim Ben Hammouda,2014-01-29,2015-02-06
finance,Finance,Q3486677,Slim Chaker,2015-02-06,2016-08-27
finance,Finance,Q28869633,Lamia Zribi,2016-08-27,2017-04-30
finance,Finance,Q27665914,Fadhel Abdelkefi,2017-04-30,2017-09-12
finance,Finance,Q3431740,Ridha Chalghoum,2017-09-12,2020-02-27
finance,Finance,Q90570383,Nizar Yaïche,2020-02-27,2020-09-02
finance,Finance,Q98828362,Ali Kooli,2020-09-02,2021-08-02
finance,Finance,Q108159069,Sihem Boughdiri,2021-08-02,2025-02-05
finance,Finance,Q132560656,Mechket Slama,2025-02-05,2026-08-26
foreign_affairs,Foreign affairs,Q643348,Habib Bourguiba,1956-04-15,1957-07-29
foreign_affairs,Foreign affairs,Q3461176,Sadok Mokaddem,1957-07-29,1962-08-29
foreign_affairs,Foreign affairs,Q563204,Mongi Slim,1962-08-29,1964-11-12
foreign_affairs,Foreign affairs,Q586623,Habib Bourguiba Jr.,1964-11-12,1969-11-07
foreign_affairs,Foreign affairs,Q643348,Habib Bourguiba,1969-11-07,1970-01-01
foreign_affairs,Foreign affairs,Q1951854,محمد المصمودي,1970-06-12,1973-11-05
foreign_affairs,Foreign affairs,TN-abdelaziz-hamzaoui,Abdelaziz Hamzaoui,1973-11-05,1974-01-14
foreign_affairs,Foreign affairs,Q1530765,Habib Chatti,1974-01-14,1974-09-25
foreign_affairs,Foreign affairs,TN-hechmi-kooli,Héchmi Kooli,1974-09-25,1974-11-05
foreign_affairs,Foreign affairs,Q3320650,Mongi Kooli,1974-11-05,1976-07-21
foreign_affairs,Foreign affairs,TN-brahim-turki,Brahim Turki,1976-07-21,1977-12-24
foreign_affairs,Foreign affairs,Q3318545,Mohamed Fitouri,1977-12-24,1980-04-15
foreign_affairs,Foreign affairs,Q3128202,Hassen Belkhodja,1980-04-15,1981-04-15
foreign_affairs,Foreign affairs,Q313539,Béji Caïd Essebsi,1981-04-15,1981-08-10
foreign_affairs,Foreign affairs,Q3277819,Mahmoud Mestiri,1981-08-10,1983-03-17
foreign_affairs,Foreign affairs,TN-ahmed-ben-arfa,Ahmed Ben Arfa,1983-03-17,1986-01-01
foreign_affairs,Foreign affairs,Q12194585,Hédi Mabrouk,1986-09-15,1987-11-07
foreign_affairs,Foreign affairs,Q3277819,Mahmoud Mestiri,1987-11-07,1988-07-27
foreign_affairs,Foreign affairs,Q3125299,Habib Ben Yahia,1988-07-27,1988-11-07
foreign_affairs,Foreign affairs,Q4167838,Abdelhamid Escheikh,1988-11-07,1989-09-27
foreign_affairs,Foreign affairs,Q3125299,Habib Ben Yahia,1989-09-27,1990-03-03
foreign_affairs,Foreign affairs,Q3951110,Ismaïl Khelil,1990-03-03,1990-08-28
foreign_affairs,Foreign affairs,Q507856,Habib Boularès,1990-08-28,1990-10-28
foreign_affairs,Foreign affairs,Q3126302,Hamadi Khouini,1990-10-28,1991-02-20
foreign_affairs,Foreign affairs,TN-noureddine-mejdoub,Noureddine Mejdoub,1991-02-20,1991-10-11
foreign_affairs,Foreign affairs,TN-sadok-fayala,Sadok Fayala,1991-10-11,1991-11-04
foreign_affairs,Foreign affairs,Q2688070,Saïd Ben Mustapha,1991-11-04,1997-01-22
foreign_affairs,Foreign affairs,Q2821241,Abderrahim Zouari,1997-01-22,1998-10-02
foreign_affairs,Foreign affairs,Q60572709,Tahar Sioud,1998-10-02,1999-01-01
foreign_affairs,Foreign affairs,Q19060320,فتحي المرداسي,1999-11-17,2001-01-23
foreign_affairs,Foreign affairs,TN-youssef-mokaddem,Youssef Mokaddem,2001-01-23,2002-09-05
foreign_affairs,Foreign affairs,TN-saida-chtioui,Saïda Chtioui,2002-09-05,2003-09-01
foreign_affairs,Foreign affairs,Q3128291,Hatem Ben Salem,2003-09-01,2004-11-10
foreign_affairs,Foreign affairs,Q2821010,Abdelbaki Hermassi,2004-11-10,2004-11-11
foreign_affairs,Foreign affairs,TN-slaheddine-jemmali,Slaheddine Jemmali,2004-11-11,2005-08-17
foreign_affairs,Foreign affairs,Q308017,Abdelwahab Abdallah,2005-08-17,2007-01-25
foreign_affairs,Foreign affairs,Q2821273,Abderraouf El Basti,2007-01-25,2008-09-15
foreign_affairs,Foreign affairs,Q16178347,Abdelhafidh Harguem,2008-09-15,2010-01-14
foreign_affairs,Foreign affairs,Q1043040,Kamel Morjane,2010-01-14,2010-12-29
foreign_affairs,Foreign affairs,Q2821210,Abdelwaheb Jemal,2010-12-29,2011-01-01
foreign_affairs,Foreign affairs,Q401426,Ahmed Ounaies,2011-01-27,2011-02-21
foreign_affairs,Foreign affairs,Q980071,Mouldi Kefi,2011-02-21,2011-12-23
foreign_affairs,Foreign affairs,Q3417420,Rafik Abdessalem,2011-12-23,2013-03-14
foreign_affairs,Foreign affairs,Q12270270,Othman Jerandi,2013-03-14,2014-01-28
foreign_affairs,Foreign affairs,Q15829893,Mongi Hamdi,2014-01-28,2015-02-05
foreign_affairs,Foreign affairs,Q2388455,Taïeb Baccouche,2015-02-05,2016-01-06
foreign_affairs,Foreign affairs,Q3196140,Khemaies Jhinaoui,2016-01-06,2019-10-29
foreign_affairs,Foreign affairs,Q30729046,Sabri Bachtobji,2019-10-29,2020-02-27
foreign_affairs,Foreign affairs,Q91626084,Noureddine Erray,2020-02-27,2020-07-24
foreign_affairs,Foreign affairs,Q92353813,Selma Ennaifer,2020-07-24,2020-09-02
foreign_affairs,Foreign affairs,Q12270270,Othman Jerandi,2020-09-02,2023-02-07
head_of_government,Head of government,Q495676,Tahar Ben Ammar,1956-03-20,1956-04-11
head_of_government,Head of government,Q643348,Habib Bourguiba,1956-04-11,1957-07-25
head_of_government,Head of government,Q800238,Bahi Ladgham,1969-11-07,1970-11-02
head_of_government,Head of government,Q1642894,Hédi Nouira,1970-11-02,1980-04-23
head_of_government,Head of government,Q377921,Mohamed Mzali,1980-04-23,1986-07-08
head_of_government,Head of government,Q653162,Rachid Sfar,1986-07-08,1987-10-02
head_of_government,Head of government,Q204487,زين العابدين بن علي,1987-10-02,1987-11-07
head_of_government,Head of government,Q1363916,Hédi Baccouche,1987-11-07,1989-09-27
head_of_government,Head of government,Q1381809,Hamed Karoui,1989-09-27,1999-11-17
head_of_government,Head of government,Q431515,Mohamed Ghannouchi,1999-11-17,2011-02-27
head_of_government,Head of government,Q313539,Béji Caïd Essebsi,2011-02-28,2011-12-24
head_of_government,Head of government,Q57699,Hamadi Jebali,2011-12-24,2013-03-13
head_of_government,Head of government,Q281184,Ali Larayedh,2013-03-13,2014-01-29
head_of_government,Head of government,Q15304780,Mehdi Jomaa,2014-01-29,2015-02-06
head_of_government,Head of government,Q3125311,Habib Essid,2015-02-06,2016-08-27
head_of_government,Head of government,Q25391268,Youssef Chahed,2016-08-27,2020-02-27
head_of_government,Head of government,Q3051875,Elyes Fakhfakh,2020-02-27,2020-09-02
head_of_government,Head of government,Q88485687,Hichem Mechichi,2020-09-02,2021-07-25
head_of_government,Head of government,Q108741355,Najla Bouden,2021-10-11,2023-08-01
head_of_government,Head of government,Q121088468,Ahmed Hachani,2023-08-01,2024-08-08
head_of_government,Head of government,Q128723414,Kamel Madouri,2024-08-08,2025-03-21
head_of_government,Head of government,Q108892374,Sarra Zaafrani,2025-03-21,2026-08-26
interior,Interior,Q563204,Mongi Slim,1955-09-21,1956-04-15
interior,Interior,Q3516543,Taïeb Mehiri,1956-04-15,1965-07-05
interior,Interior,Q313539,Béji Caïd Essebsi,1965-07-05,1969-09-08
interior,Interior,Q3144591,Hédi Khefacha,1969-09-08,1970-06-12
interior,Interior,Q2827624,أحمد المستيري,1970-06-12,1971-09-04
interior,Interior,Q1642894,Hédi Nouira,1971-09-04,1971-10-29
interior,Interior,Q3144591,Hédi Khefacha,1971-10-29,1973-03-17
interior,Interior,Q2374730,Tahar Belkhodja,1973-03-17,1977-12-23
interior,Interior,Q2820925,Abdallah Farhat,1977-12-23,1977-12-26
interior,Interior,Q16262803,Dhaoui Hannablia,1977-12-26,1979-11-07
interior,Interior,Q3357601,Othman Kechrid,1979-11-07,1980-03-01
interior,Interior,Q3039490,Driss Guiga,1980-03-01,1983-03-17
interior,Interior,Q121356281,Ahmed Bennour,1983-03-17,1984-01-07
interior,Interior,Q377921,Mohamed Mzali,1984-01-07,1985-10-23
interior,Interior,Q204487,Zine el-Abidine Ben Ali,1985-10-23,1986-01-01
interior,Interior,Q204487,Zine el-Abidine Ben Ali,1986-04-28,1987-11-07
interior,Interior,Q3125288,Habib Ammar,1987-11-07,1988-07-27
interior,Interior,TN-amor-bejaoui,Amor Bejaoui,1988-07-27,1988-11-01
interior,Interior,Q2972023,Chédli Neffati,1988-11-01,1990-03-03
interior,Interior,TN-mohamed-saad,Mohamed Saâd,1990-03-03,1991-02-17
