variable,1940s,1950s,1960s,1970s,1980s,1990s,2000s,2010s,2020s
Wikidata QID,52.6,53.6,100.0,55.2,67.8,55.2,13.6,80.8,66.4
Gender,52.6,52.2,100.0,55.2,67.8,55.2,13.6,80.8,66.4
Occupation,52.6,52.2,100.0,53.4,63.6,52.0,13.6,80.8,65.7
Birth date,52.6,47.8,100.0,50.0,62.2,51.2,9.1,80.8,54.7
Birthplace,52.6,46.4,93.3,50.0,52.4,44.8,9.1,76.6,40.9
Party,26.3,33.3,80.0,36.2,49.7,32.0,2.3,53.6,15.3
Education,26.3,24.6,66.7,29.3,29.4,25.6,6.8,47.7,44.5
