degree,people
0,50
1,1
3,3
4,1
5,1
6,1
8,4
9,1
10,2
11,15
12,21
13,2
14,6
15,1
16,1
17,1
20,1
21,14
22,3
23,1
25,2
26,15
28,22
29,4
30,2
31,11
32,24
33,7
34,1
35,4
37,12
38,6
40,11
41,4
42,11
43,17
44,8
45,4
46,12
47,7
48,3
49,15
50,2
51,1
52,2
55,1
56,15
57,11
58,6
59,26
60,13
61,10
62,4
63,1
64,4
66,3
67,6
68,2
69,19
71,11
72,6
77,15
78,1
79,31
80,2
81,34
82,1
84,1
87,3
88,1
89,2
90,2
92,2
93,5
94,4
96,1
97,1
98,2
99,3
101,1
102,2
103,1
104,16
105,2
107,2
108,26
109,3
110,7
111,1
113,7
114,1
115,3
116,2
117,1
118,3
120,2
121,3
122,1
123,1
125,1
126,2
127,8
128,3
129,3
131,1
134,3
136,1
149,1
157,1
164,1
170,2
178,41
180,56
181,2
182,14
183,7
184,3
185,2
189,2
191,1
193,1
201,1
205,1
206,4
210,2
222,1
229,2
234,1
235,1
237,2
240,1
243,1
250,4
252,4
253,1
254,2
255,3
256,5
257,2
258,1
259,1
260,3
261,1
264,1
267,2
269,1
274,1
276,1
279,1
280,1
284,1
299,1
337,1
