era,era_label,cohort,documented,Collège Sadiki,Tunisian university,Trained in France
protectorate,Protectorate,60,15,0.7333,0.0,0.4
bourguiba,Bourguiba,126,48,0.5208,0.25,0.5833
ben_ali,Ben Ali,321,99,0.0404,0.6162,0.3939
transition,Transition,71,27,0.037,0.5185,0.2222
second_republic,2nd Republic,218,105,0.019,0.4571,0.381
