governorate,protectorate,bourguiba,ben_ali,transition,second_republic,saied_exception
Tunis,8.446,3.025,2.99,3.449,3.326,4.082
Sfax,0.0,0.994,0.98,1.113,1.039,1.143
Nabeul,0.0,0.754,0.872,0.859,0.63,0.0
Sousse,0.0,2.219,1.346,0.556,1.122,0.524
Ben Arous,0.0,0.0,0.189,0.586,0.538,1.104
Ariana,0.0,0.0,0.0,0.0,0.0,0.0
Bizerte,0.0,0.214,0.338,0.174,1.024,1.314
Kairouan,0.0,1.516,1.366,1.058,0.647,0.664
Monastir,2.065,3.255,1.825,1.413,0.778,0.0
Médenine,0.0,0.242,1.146,1.775,1.736,1.486
Kasserine,0.0,0.0,0.555,0.86,0.473,0.0
Sidi Bouzid,0.0,0.266,0.14,0.432,0.317,0.814
Mahdia,0.917,1.446,0.912,1.413,0.864,0.887
Manouba,0.987,0.0,0.0,0.0,0.372,0.954
Gabès,1.005,0.317,1.499,0.774,0.946,0.971
Jendouba,0.0,0.322,0.338,0.524,0.385,0.0
Gafsa,0.0,0.335,1.584,0.818,1.4,2.053
Béja,0.0,0.836,0.439,0.34,0.999,1.281
Le Kef,0.0,1.642,0.863,0.891,0.981,0.0
Siliana,0.0,0.602,0.316,0.0,1.798,1.845
Zaghouan,2.053,0.647,0.681,0.527,0.0,0.0
Kébili,0.0,0.71,0.0,0.0,0.0,0.0
Tataouine,0.0,0.0,0.421,0.0,0.0,0.0
Tozeur,0.0,0.0,2.85,3.531,1.295,0.0
