era,cum_population_share,cum_minister_share
protectorate,0.0,0.0
protectorate,0.0558,0.0
protectorate,0.1162,0.0
protectorate,0.1883,0.0
protectorate,0.239,0.0
protectorate,0.2651,0.0
protectorate,0.2988,0.0
protectorate,0.3187,0.0
protectorate,0.3368,0.0
protectorate,0.4004,0.0
protectorate,0.4879,0.0
protectorate,0.5381,0.0
protectorate,0.5793,0.0
protectorate,0.6202,0.0
protectorate,0.6651,0.0
protectorate,0.6786,0.0
protectorate,0.7111,0.0
protectorate,0.7211,0.0
protectorate,0.7364,0.0
protectorate,0.774,0.0345
protectorate,0.809,0.069
protectorate,0.8433,0.1034
protectorate,0.8601,0.1379
protectorate,0.9102,0.2414
protectorate,1.0,1.0
bourguiba,0.0,0.0
bourguiba,0.0558,0.0
bourguiba,0.1162,0.0
bourguiba,0.1512,0.0
bourguiba,0.1923,0.0
bourguiba,0.2059,0.0
bourguiba,0.2159,0.0
bourguiba,0.2667,0.0109
bourguiba,0.3115,0.0217
bourguiba,0.3525,0.0326
bourguiba,0.3868,0.0435
bourguiba,0.4206,0.0543
bourguiba,0.453,0.0652
bourguiba,0.4711,0.0761
bourguiba,0.4879,0.087
bourguiba,0.5032,0.0978
bourguiba,0.5753,0.1522
bourguiba,0.6013,0.1739
bourguiba,0.6888,0.2609
bourguiba,0.7264,0.3152
bourguiba,0.7766,0.3913
bourguiba,0.7964,0.4239
bourguiba,0.8601,0.5652
bourguiba,0.9499,0.837
bourguiba,1.0,1.0
ben_ali,0.0,0.0
ben_ali,0.0558,0.0
ben_ali,0.0908,0.0
ben_ali,0.1061,0.0
ben_ali,0.147,0.0057
ben_ali,0.2074,0.0171
ben_ali,0.2255,0.0229
ben_ali,0.2762,0.04
ben_ali,0.31,0.0514
ben_ali,0.3235,0.0571
ben_ali,0.3496,0.0686
ben_ali,0.3907,0.0914
ben_ali,0.4075,0.1029
ben_ali,0.4274,0.12
ben_ali,0.4995,0.1829
ben_ali,0.537,0.2171
ben_ali,0.6245,0.3029
ben_ali,0.6694,0.3543
ben_ali,0.7331,0.44
ben_ali,0.7833,0.5086
ben_ali,0.8176,0.56
ben_ali,0.8501,0.6114
ben_ali,0.9002,0.7029
ben_ali,0.9102,0.7314
ben_ali,1.0,1.0
transition,0.0,0.0
transition,0.0558,0.0
transition,0.0908,0.0
transition,0.1088,0.0
transition,0.1224,0.0
transition,0.1377,0.0
transition,0.1885,0.0088
transition,0.2145,0.0177
transition,0.2554,0.0354
transition,0.2892,0.0531
transition,0.306,0.0619
transition,0.3696,0.0973
transition,0.43,0.1327
transition,0.4643,0.1593
transition,0.4968,0.1858
transition,0.5689,0.2478
transition,0.6101,0.2832
transition,0.6299,0.3009
transition,0.6801,0.354
transition,0.7676,0.4513
transition,0.8052,0.5044
transition,0.8553,0.5752
transition,0.9002,0.6549
transition,0.99,0.9646
transition,1.0,1.0
second_republic,0.0,0.0
second_republic,0.0558,0.0
second_republic,0.0726,0.0
second_republic,0.0862,0.0
second_republic,0.1015,0.0
second_republic,0.1425,0.013
second_republic,0.1774,0.026
second_republic,0.2112,0.039
second_republic,0.2523,0.0584
second_republic,0.3127,0.0909
second_republic,0.3848,0.1364
second_republic,0.435,0.1688
second_republic,0.4851,0.2078
second_republic,0.5227,0.2403
second_republic,0.557,0.2727
second_republic,0.5768,0.2922
second_republic,0.6028,0.3182
second_republic,0.6536,0.3701
second_republic,0.7411,0.461
second_republic,0.8047,0.5325
second_republic,0.8148,0.5455
second_republic,0.8472,0.5909
second_republic,0.8921,0.6688
second_republic,0.9102,0.7013
second_republic,1.0,1.0
