community,members,median_start_year,protectorate,protectorate_end,monarchy,bourguiba,ben_ali,transition,second_republic,saied_exception
C1,173,1970,0.099,0.047,0.064,0.724,0.026,0.012,0.014,0.0
C2,152,2002,0.0,0.0,0.0,0.007,0.89,0.043,0.05,0.0
C3,144,2016,0.0,0.0,0.0,0.0,0.05,0.139,0.812,0.0
C4,125,2013,0.03,0.011,0.0,0.033,0.12,0.571,0.204,0.0
C5,122,1990,0.0,0.0,0.0,0.093,0.892,0.006,0.006,0.0
C6,116,2021,0.0,0.0,0.0,0.0,0.0,0.008,0.395,0.597
