era,era_label,coded,coastal,sahel,interior
protectorate,Protectorate,29,0.9655172413793104,0.13793103448275862,0.034482758620689655
bourguiba,Bourguiba,92,0.8043478260869565,0.358695652173913,0.1956521739130435
ben_ali,Ben Ali,175,0.76,0.21142857142857144,0.24
transition,Transition,113,0.7787610619469026,0.1592920353982301,0.22123893805309736
second_republic,2nd Republic,154,0.7857142857142857,0.14285714285714285,0.21428571428571427
saied_exception,Post-2021,30,0.8,0.06666666666666667,0.2
