year,in_office,exits,exit_rate,cabinet_formed
1965,22,1,0.0455,False
1966,23,4,0.1739,False
1967,24,1,0.0417,False
1968,25,4,0.16,False
1969,33,26,0.7879,True
1970,39,33,0.8462,True
1971,40,11,0.275,False
1972,41,3,0.0732,False
1973,45,7,0.1556,False
1974,56,7,0.125,False
1975,56,0,0.0,False
1976,58,5,0.0862,False
1977,65,7,0.1077,False
1978,66,4,0.0606,False
1979,72,7,0.0972,False
1980,93,71,0.7634,True
1981,43,2,0.0465,False
1982,43,0,0.0,False
1983,52,5,0.0962,False
1984,56,4,0.0714,False
1985,58,2,0.0345,False
1986,64,61,0.9531,True
1987,56,21,0.375,True
1988,65,29,0.4462,True
1989,113,59,0.5221,True
1990,93,6,0.0645,False
1991,101,10,0.099,False
1992,104,6,0.0577,False
1993,105,1,0.0095,False
1994,105,2,0.019,False
1995,107,5,0.0467,False
1996,107,5,0.0467,False
1997,110,12,0.1091,False
1998,111,0,0.0,False
1999,216,111,0.5139,True
2000,141,0,0.0,False
2001,158,13,0.0823,False
2002,161,7,0.0435,False
2003,164,2,0.0122,False
2004,171,16,0.0936,False
2005,172,4,0.0233,False
2006,174,1,0.0057,False
2007,177,3,0.0169,False
2008,182,6,0.033,False
2009,182,1,0.0055,False
2010,185,14,0.0757,False
2011,270,227,0.8407,True
2012,49,5,0.102,False
2013,63,46,0.7302,True
2014,66,38,0.5758,True
2015,90,30,0.3333,True
2016,130,62,0.4769,True
2017,83,14,0.1687,False
2018,85,14,0.1647,False
2019,82,9,0.1098,False
2020,147,112,0.7619,True
2021,103,51,0.4951,True
2022,60,0,0.0,False
2023,70,9,0.1286,True
2024,85,59,0.6941,True
2025,71,17,0.2394,True
