era,era_label,handovers,same_region,chance,ratio
protectorate,Protectorate,25,0.68,0.65,1.05
bourguiba,Bourguiba,192,0.281,0.293,0.96
ben_ali,Ben Ali,359,0.198,0.205,0.97
transition,Transition,119,0.151,0.22,0.69
second_republic,2nd Republic,285,0.235,0.211,1.12
