era,era_label,ministers,coded,coverage,Greater Tunis,Centre-East (Sahel),Other coastal,Interior
protectorate,Protectorate,61,29,0.475,0.7931034482758621,0.13793103448275862,0.06896551724137931,0.0
bourguiba,Bourguiba,147,92,0.626,0.2717391304347826,0.44565217391304346,0.09782608695652174,0.18478260869565216
ben_ali,Ben Ali,351,175,0.499,0.28,0.29714285714285715,0.2,0.22285714285714286
transition,Transition,137,113,0.825,0.34513274336283184,0.25663716814159293,0.18584070796460178,0.21238938053097345
second_republic,2nd Republic,246,154,0.626,0.34415584415584416,0.23376623376623376,0.2077922077922078,0.21428571428571427
saied_exception,Post-2021,74,30,0.405,0.4666666666666667,0.16666666666666666,0.16666666666666666,0.2
