governorate,ministers,population,population_share,minister_share,ratio
Ariana,0,668552,0.0558,0.0,0.0
Tataouine,1,162654,0.0136,0.0016,0.118
Manouba,4,418354,0.0349,0.0064,0.183
Kébili,2,183201,0.0153,0.0032,0.209
Sidi Bouzid,7,489991,0.0409,0.0112,0.274
Jendouba,7,404352,0.0338,0.0112,0.332
Ben Arous,13,722828,0.0604,0.0208,0.345
Kasserine,11,492741,0.0412,0.0176,0.428
Zaghouan,5,201065,0.0168,0.008,0.477
Bizerte,16,607388,0.0507,0.0256,0.505
Béja,10,311417,0.026,0.016,0.616
Nabeul,30,863172,0.0721,0.0481,0.667
Siliana,8,216242,0.0181,0.0128,0.71
Sfax,51,1047468,0.0875,0.0817,0.934
Le Kef,12,237686,0.0199,0.0192,0.969
Kairouan,32,600803,0.0502,0.0513,1.022
Gabès,22,410847,0.0343,0.0353,1.027
Gafsa,22,388776,0.0325,0.0353,1.086
Sousse,44,762281,0.0637,0.0705,1.107
Mahdia,26,449985,0.0376,0.0417,1.109
Médenine,34,537255,0.0449,0.0545,1.214
Monastir,52,599769,0.0501,0.0833,1.663
Tozeur,11,120036,0.01,0.0176,1.758
Tunis,204,1075306,0.0898,0.3269,3.64
