era,era_label,years_drawn,appointments,first_time_entrants,pooled_renewal_rate
bourguiba,Bourguiba,21,602,126,0.2093
ben_ali,Ben Ali,21,1078,321,0.2978
transition,Transition,4,314,71,0.2261
second_republic,2nd Republic,7,661,218,0.3298
saied_exception,Post-2021,4,239,30,0.1255
