units,from,to,gini_from,gini_to,delta,ci_low,ci_high,significant
governorate,protectorate,bourguiba,0.8564,0.5585,-0.2979,-0.3965,-0.2431,True
governorate,bourguiba,ben_ali,0.5585,0.4649,-0.0936,-0.1787,-0.0009,True
governorate,ben_ali,transition,0.4649,0.4834,0.0185,-0.0954,0.095,False
governorate,transition,second_republic,0.4834,0.423,-0.0604,-0.1576,0.0433,False
greater_tunis_merged,protectorate,bourguiba,0.6945,0.4039,-0.2907,-0.4317,-0.2345,True
greater_tunis_merged,bourguiba,ben_ali,0.4039,0.2589,-0.145,-0.2421,-0.0348,True
greater_tunis_merged,ben_ali,transition,0.2589,0.3052,0.0464,-0.0633,0.1378,False
greater_tunis_merged,transition,second_republic,0.3052,0.2553,-0.0499,-0.1493,0.0555,False
region,protectorate,bourguiba,0.6702,0.3194,-0.3508,-0.4844,-0.2406,True
region,bourguiba,ben_ali,0.3194,0.1658,-0.1536,-0.2841,-0.0462,True
region,ben_ali,transition,0.1658,0.202,0.0362,-0.0728,0.151,False
region,transition,second_republic,0.202,0.1881,-0.0139,-0.1237,0.1137,False
