source,target,weight,overlap_days,overlap_years,n_cabinets,cabinets,eras,tie_type
Q12194585,Q152369,14208,14208,38.9,1,Gouvernement Ben Ali,bourguiba,co_membership
Q12194585,Q16666837,14208,14208,38.9,1,Gouvernement Ben Ali,bourguiba,co_membership
Q12194585,Q204487,14208,14208,38.9,1,Gouvernement Ben Ali,bourguiba,co_membership
Q12194585,Q2820931,14208,14208,38.9,1,Gouvernement Ben Ali,bourguiba,co_membership
Q12194585,Q3320544,14208,14208,38.9,1,Gouvernement Ben Ali,bourguiba,co_membership
Q12194585,Q3951110,14615,14615,40.01,2,Gouvernement Ben Ali|TN-06,bourguiba,co_membership
Q12194585,Q431515,14208,14208,38.9,1,Gouvernement Ben Ali,bourguiba,co_membership
Q12194585,Q54875092,14208,14208,38.9,1,Gouvernement Ben Ali,bourguiba,co_membership
Q12194585,Q60573369,14208,14208,38.9,1,Gouvernement Ben Ali,bourguiba,co_membership
Q12194585,TN-unknown-15,14208,14208,38.9,1,Gouvernement Ben Ali,bourguiba,co_membership
Q152369,Q16666837,14741,14741,40.36,3,Gouvernement Ben Ali|Gouvernement Hédi Baccouche I|TN-07,bourguiba,co_membership
Q152369,Q204487,14637,14637,40.07,2,Gouvernement Ben Ali|Gouvernement Mohamed Mzali,bourguiba,co_membership
Q152369,Q2820931,14208,14208,38.9,1,Gouvernement Ben Ali,bourguiba,co_membership
Q152369,Q3320544,14263,14263,39.05,2,Gouvernement Ben Ali|Gouvernement Hédi Baccouche I,bourguiba,co_membership
Q152369,Q3951110,15304,15304,41.9,3,Gouvernement Ben Ali|Gouvernement Mohamed Mzali|TN-07,bourguiba,co_membership
Q152369,Q431515,14573,14573,39.9,2,Gouvernement Ben Ali|Gouvernement Hédi Baccouche I,bourguiba,co_membership
Q152369,Q54875092,14208,14208,38.9,1,Gouvernement Ben Ali,bourguiba,co_membership
Q152369,Q60573369,14208,14208,38.9,1,Gouvernement Ben Ali,bourguiba,co_membership
Q152369,TN-unknown-15,14208,14208,38.9,1,Gouvernement Ben Ali,bourguiba,co_membership
Q16666837,Q204487,14208,14208,38.9,1,Gouvernement Ben Ali,bourguiba,co_membership
Q16666837,Q2820931,20645,20645,56.52,5,Gouvernement Ben Ali|Gouvernement Hédi Baccouche II|Gouvernement Karoui|TN-08|TN-09,ben_ali|bourguiba,co_membership
Q16666837,Q3320544,18932,18932,51.83,4,Gouvernement Ben Ali|Gouvernement Hédi Baccouche I|Gouvernement Karoui|TN-09,ben_ali|bourguiba,co_membership
Q16666837,Q3951110,18809,18809,51.5,4,Gouvernement Ben Ali|Gouvernement Hédi Baccouche II|Gouvernement Karoui|TN-07,ben_ali|bourguiba,co_membership
Q16666837,Q431515,18642,18642,51.04,4,Gouvernement Ben Ali|Gouvernement Hédi Baccouche I|Gouvernement Hédi Baccouche II|Gouvernement Karoui,ben_ali|bourguiba,co_membership
Q16666837,Q54875092,17911,17911,49.04,2,Gouvernement Ben Ali|Gouvernement Karoui,ben_ali|bourguiba,co_membership
Q16666837,Q60573369,14208,14208,38.9,1,Gouvernement Ben Ali,bourguiba,co_membership
Q16666837,TN-unknown-15,14208,14208,38.9,1,Gouvernement Ben Ali,bourguiba,co_membership
Q204487,Q2820931,14208,14208,38.9,1,Gouvernement Ben Ali,bourguiba,co_membership
Q204487,Q3320544,14208,14208,38.9,1,Gouvernement Ben Ali,bourguiba,co_membership
Q204487,Q3951110,15088,15088,41.31,3,Gouvernement Ben Ali|Gouvernement Mohamed Mzali|Gouvernement Sfar,bourguiba,co_membership
Q204487,Q431515,14208,14208,38.9,1,Gouvernement Ben Ali,bourguiba,co_membership
Q204487,Q54875092,14208,14208,38.9,1,Gouvernement Ben Ali,bourguiba,co_membership
Q204487,Q60573369,14208,14208,38.9,1,Gouvernement Ben Ali,bourguiba,co_membership
Q204487,TN-unknown-15,14208,14208,38.9,1,Gouvernement Ben Ali,bourguiba,co_membership
Q2820931,Q3320544,24026,24026,65.78,4,Gouvernement Ben Ali|Gouvernement Ghannouchi I|Gouvernement Karoui|TN-09,ben_ali|bourguiba,co_membership
Q2820931,Q3951110,18277,18277,50.04,3,Gouvernement Ben Ali|Gouvernement Hédi Baccouche II|Gouvernement Karoui,ben_ali|bourguiba,co_membership
Q2820931,Q431515,23308,23308,63.81,6,Gouvernement Ben Ali|Gouvernement Ghannouchi I|Gouvernement Hédi Baccouche II|Gouvernement Karoui|TN-09|TN-10,ben_ali|bourguiba,co_membership
Q2820931,Q54875092,17911,17911,49.04,2,Gouvernement Ben Ali|Gouvernement Karoui,ben_ali|bourguiba,co_membership
Q2820931,Q60573369,14208,14208,38.9,1,Gouvernement Ben Ali,bourguiba,co_membership
Q2820931,TN-unknown-15,14208,14208,38.9,1,Gouvernement Ben Ali,bourguiba,co_membership
Q3320544,Q3951110,17911,17911,49.04,2,Gouvernement Ben Ali|Gouvernement Karoui,ben_ali|bourguiba,co_membership
Q3320544,Q431515,25731,25731,70.45,5,Gouvernement Ben Ali|Gouvernement Ghannouchi I|Gouvernement Hédi Baccouche I|Gouvernement Karoui|TN-10,ben_ali|bourguiba,co_membership
Q3320544,Q54875092,17911,17911,49.04,2,Gouvernement Ben Ali|Gouvernement Karoui,ben_ali|bourguiba,co_membership
Q3320544,Q60573369,14208,14208,38.9,1,Gouvernement Ben Ali,bourguiba,co_membership
Q3320544,TN-unknown-15,14208,14208,38.9,1,Gouvernement Ben Ali,bourguiba,co_membership
Q3951110,Q431515,18455,18455,50.53,4,Gouvernement Ben Ali|Gouvernement Hédi Baccouche II|Gouvernement Karoui|TN-09,ben_ali|bourguiba,co_membership
Q3951110,Q54875092,17911,17911,49.04,2,Gouvernement Ben Ali|Gouvernement Karoui,ben_ali|bourguiba,co_membership
Q3951110,Q60573369,14208,14208,38.9,1,Gouvernement Ben Ali,bourguiba,co_membership
Q3951110,TN-unknown-15,14208,14208,38.9,1,Gouvernement Ben Ali,bourguiba,co_membership
Q431515,Q54875092,17911,17911,49.04,2,Gouvernement Ben Ali|Gouvernement Karoui,ben_ali|bourguiba,co_membership
Q431515,Q60573369,14208,14208,38.9,1,Gouvernement Ben Ali,bourguiba,co_membership
Q431515,TN-unknown-15,14208,14208,38.9,1,Gouvernement Ben Ali,bourguiba,co_membership
Q54875092,Q60573369,14208,14208,38.9,1,Gouvernement Ben Ali,bourguiba,co_membership
Q54875092,TN-unknown-15,14208,14208,38.9,1,Gouvernement Ben Ali,bourguiba,co_membership
Q60573369,TN-unknown-15,14208,14208,38.9,1,Gouvernement Ben Ali,bourguiba,co_membership
