source,target,tie_type,weight,shared_values
Q100261455,Q16262803,shared_birth_governorate,1,le kef
Q100261455,Q16262805,shared_birth_governorate,1,le kef
Q100261455,Q19956120,shared_birth_governorate,1,le kef
Q100261455,Q27179077,shared_birth_governorate,1,le kef
Q100261455,Q2821154,shared_birth_governorate,1,le kef
Q100261455,Q2821241,shared_birth_governorate,1,le kef
Q100261455,Q980071,shared_birth_governorate,1,le kef
Q1043040,Q10514449,shared_parties,1,tahya tounes
Q1043040,Q111701635,shared_education,1,universite de tunis
Q1043040,Q121088468,shared_education,1,universite de tunis
Q1043040,Q12240251,shared_birth_governorate,1,sousse
Q1043040,Q128723414,shared_education,1,universite de tunis
Q1043040,Q130344076,shared_birth_governorate,1,sousse
Q1043040,Q1363916,shared_birth_governorate,1,sousse
Q1043040,Q1381809,shared_birth_governorate,1,sousse
Q1043040,Q1381809,shared_parties,1,التجمع الدستوري الديمقراطي
Q1043040,Q14182276,shared_birth_governorate,1,sousse
Q1043040,Q15055101,shared_parties,1,التجمع الدستوري الديمقراطي
Q1043040,Q152369,shared_parties,1,التجمع الدستوري الديمقراطي
Q1043040,Q1530765,shared_birth_governorate,1,sousse
Q1043040,Q16127215,shared_parties,1,التجمع الدستوري الديمقراطي
Q1043040,Q16267511,shared_parties,1,التجمع الدستوري الديمقراطي
Q1043040,Q16267906,shared_education,1,universite de tunis
Q1043040,Q16269532,shared_education,1,universite de tunis
Q1043040,Q16321385,shared_birth_governorate,1,sousse
Q1043040,Q16325226,shared_parties,1,التجمع الدستوري الديمقراطي
Q1043040,Q16642407,shared_education,1,universite de tunis
Q1043040,Q16666126,shared_education,1,universite de tunis
Q1043040,Q16666837,shared_birth_governorate,1,sousse
Q1043040,Q16666837,shared_parties,1,التجمع الدستوري الديمقراطي
Q1043040,Q16802173,shared_education,1,universite de tunis
Q1043040,Q16889653,shared_education,1,universite de tunis
Q1043040,Q17425841,shared_parties,1,التجمع الدستوري الديمقراطي
Q1043040,Q18384881,shared_education,1,universite de tunis
Q1043040,Q18610841,shared_education,1,universite de tunis
Q1043040,Q19060286,shared_parties,1,التجمع الدستوري الديمقراطي
Q1043040,Q19060293,shared_parties,1,التجمع الدستوري الديمقراطي
Q1043040,Q19060319,shared_education,1,universite de tunis
Q1043040,Q19060320,shared_parties,1,التجمع الدستوري الديمقراطي
Q1043040,Q19060337,shared_parties,1,التجمع الدستوري الديمقراطي
Q1043040,Q19060346,shared_parties,1,التجمع الدستوري الديمقراطي
Q1043040,Q19248970,shared_education,1,universite de tunis
Q1043040,Q19345818,shared_education,1,universite de tunis
Q1043040,Q19544932,shared_birth_governorate,1,sousse
Q1043040,Q19629356,shared_parties,1,التجمع الدستوري الديمقراطي
Q1043040,Q19956346,shared_parties,1,التجمع الدستوري الديمقراطي
Q1043040,Q20423358,shared_education,1,universite de tunis
Q1043040,Q204487,shared_birth_governorate,1,sousse
