layer,person_id,name_raw,script,surname_candidates,spine_candidates,period,subgroup,name_ar,spine_candidates_ar,first_year,max_rank_level,ever_head_of_government,birth_governorate
ministers,Q100261455,Walid Zidi,lat,ZIDI,ZD,second_republic,Le Kef,وليد الزيدي,ZD,2020,3,False,Le Kef
ministers,Q1043040,Kamel Morjane,lat,MORJANE,MRJN,ben_ali,Sousse,كمال مرجان,MRJN,1999,3,False,Sousse
ministers,Q1043040,Kamel Morjane,lat,MORJANE,MRJN,second_republic,Sousse,كمال مرجان,MRJN,1999,3,False,Sousse
ministers,Q104602558,Samir Bechouel,lat,BECHOUEL,BSL,second_republic,Bizerte,سمير بشوال,BSL,2016,5,False,Bizerte
ministers,Q104821906,Habib Ammar,lat,AMMAR,MR,second_republic,Tunis,الحبيب عمار,MR,2020,3,False,Tunis
ministers,Q104828106,Hasna Ben Slimane,lat,BEN SLIMANE|SLIMANE,BNSLMN|SLMN,second_republic,Tunis,حسناء بن سليمان,BNSLMN|SLMN,2020,3,False,Tunis
ministers,Q104873425,Abdellatif Missaoui,lat,MISSAOUI,MS,second_republic,Kasserine,عبد اللطيف الميساوي,MS,2020,3,False,Kasserine
ministers,Q10514449,Mehdi Ben Gharbia,lat,BEN GHARBIA|GHARBIA,BNVRB|VRB,second_republic,Bizerte,المهدي بن غربية,BNVRB|VRB,2016,3,False,Bizerte
ministers,Q10591389,Iyed Dahmani,lat,DAHMANI,DHMN,second_republic,Siliana,إياد الدهماني,DHMN,2016,3,False,Siliana
ministers,Q107707866,Ridha Gharsalloui,lat,GHARSALLOUI,VRSL,saied_exception,,رضا غرسلاوي,VRSL,2021,3,False,
ministers,Q108159069,Sihem Boughdiri,lat,BOUGHDIRI,BVDR,second_republic,,سهام البوغديري نمصية,MS,2021,3,False,
ministers,Q108159069,Sihem Boughdiri,lat,BOUGHDIRI,BVDR,saied_exception,,سهام البوغديري نمصية,MS,2021,3,False,
ministers,Q108163613,Nizar Ben Néji,lat,BEN NEJI|NEJI,BNJ|NJ,second_republic,Manouba,نزار بن ناجي,BNJ|NJ,2021,3,False,Manouba
ministers,Q108163613,Nizar Ben Néji,lat,BEN NEJI|NEJI,BNJ|NJ,saied_exception,Manouba,نزار بن ناجي,BNJ|NJ,2021,3,False,Manouba
ministers,Q108462555,Mohammed Badra,lat,BADRA,BDR,protectorate_end,,محمد بدرة,BDR,1954,3,False,
ministers,Q108741355,Najla Bouden,lat,BOUDEN,BDN,second_republic,Kairouan,نجلاء بودن,BDN,2021,0,True,Kairouan
ministers,Q108741355,Najla Bouden,lat,BOUDEN,BDN,saied_exception,Kairouan,نجلاء بودن,BDN,2021,0,True,Kairouan
ministers,Q108750786,Khaled Yahyaoui,lat,YAHYAOUI,H,saied_exception,,خالد اليحياوي,H,2021,3,False,
ministers,Q108865358,Samir Saïed,lat,SAIED,SD,second_republic,,سمير سعيد (وزير),SD,2021,3,False,
ministers,Q108865358,Samir Saïed,lat,SAIED,SD,saied_exception,,سمير سعيد (وزير),SD,2021,3,False,
ministers,Q108883556,Imed Memmich,lat,MEMMICH,MS,second_republic,Tunis,عماد مميش,MS,2021,3,False,Tunis
ministers,Q108883556,Imed Memmich,lat,MEMMICH,MS,saied_exception,Tunis,عماد مميش,MS,2021,3,False,Tunis
ministers,Q108892344,Mahmoud Elyes Hamza,lat,HAMZA,HMZ,second_republic,Mahdia,محمود إلياس حمزة,HMZ,2021,3,False,Mahdia
ministers,Q108892344,Mahmoud Elyes Hamza,lat,HAMZA,HMZ,saied_exception,Mahdia,محمود إلياس حمزة,HMZ,2021,3,False,Mahdia
ministers,Q108892347,Malek Ezzahi,lat,EZZAHI,ZH,second_republic,Gafsa,مالك الزاهي,ZH,2021,3,False,Gafsa
ministers,Q108892347,Malek Ezzahi,lat,EZZAHI,ZH,saied_exception,Gafsa,مالك الزاهي,ZH,2021,3,False,Gafsa
ministers,Q108892351,Rabie Majidi,lat,MAJIDI,MJD,second_republic,,ربيع المجيدي,MJD,2021,3,False,
ministers,Q108892351,Rabie Majidi,lat,MAJIDI,MJD,saied_exception,,ربيع المجيدي,MJD,2021,3,False,
ministers,Q108892355,Ibrahim Chaibi,lat,CHAIBI,SB,second_republic,Gabès,إبراهيم الشائبي,SB,2021,3,False,Gabès
ministers,Q108892355,Ibrahim Chaibi,lat,CHAIBI,SB,saied_exception,Gabès,إبراهيم الشائبي,SB,2021,3,False,Gabès
ministers,Q108892359,Fadhila Rebhi,lat,REBHI,RBH,second_republic,,فضيلة الرابحي,RBH,2021,3,False,
ministers,Q108892359,Fadhila Rebhi,lat,REBHI,RBH,saied_exception,,فضيلة الرابحي,RBH,2021,3,False,
ministers,Q108892363,Neila Gonji,lat,GONJI,KNJ,second_republic,Tunis,نايلة نويرة القنجي,KNJ,2021,3,False,Tunis
ministers,Q108892363,Neila Gonji,lat,GONJI,KNJ,saied_exception,Tunis,نايلة نويرة القنجي,KNJ,2021,3,False,Tunis
ministers,Q108892366,Mohamed Moez Belhassine,lat,BELHASSINE,BLHSN,second_republic,Tunis,محمد المعز بلحسين,BLHSN,2021,3,False,Tunis
ministers,Q108892366,Mohamed Moez Belhassine,lat,BELHASSINE,BLHSN,saied_exception,Tunis,محمد المعز بلحسين,BLHSN,2021,3,False,Tunis
ministers,Q108892374,Sara Zaafarani,lat,ZAAFARANI,ZFRN,second_republic,Tunis,سارة الزعفراني,ZFRN,2021,0,True,Tunis
ministers,Q108892374,Sara Zaafarani,lat,ZAAFARANI,ZFRN,saied_exception,Tunis,سارة الزعفراني,ZFRN,2021,0,True,Tunis
ministers,Q108892375,Nasreddine Nsibi,lat,NSIBI,NSB,second_republic,,نصر الدين النصيبي,NSB,2021,3,False,
ministers,Q108892375,Nasreddine Nsibi,lat,NSIBI,NSB,saied_exception,,نصر الدين النصيبي,NSB,2021,3,False,
ministers,Q108892377,Moncef Boukthir,lat,BOUKTHIR,BKTR,second_republic,Gafsa,منصف بوكثير,BKTR,2021,3,False,Gafsa
ministers,Q108892377,Moncef Boukthir,lat,BOUKTHIR,BKTR,saied_exception,Gafsa,منصف بوكثير,BKTR,2021,3,False,Gafsa
ministers,Q108892383,Leila Chikhaoui,lat,CHIKHAOUI,SX,second_republic,,ليلى الشيخاوي,SX,2021,3,False,
ministers,Q108892383,Leila Chikhaoui,lat,CHIKHAOUI,SX,saied_exception,,ليلى الشيخاوي,SX,2021,3,False,
ministers,Q108892387,Hayet Guettat,lat,GUETTAT,KT,second_republic,Médenine,حياة قطاط القرمازي,KRMZ,2021,3,False,Médenine
ministers,Q108892387,Hayet Guettat,lat,GUETTAT,KT,saied_exception,Médenine,حياة قطاط القرمازي,KRMZ,2021,3,False,Médenine
ministers,Q109041047,Kamel Doukh,lat,DOUKH,DX,second_republic,,كمال الدوخ,DX,2020,3,False,
ministers,Q109045280,Mohamed Ali Nafti,lat,NAFTI,NFT,second_republic,Bizerte,محمد علي النفطي,NFT,2020,3,False,Bizerte
ministers,Q109045280,Mohamed Ali Nafti,lat,NAFTI,NFT,saied_exception,Bizerte,محمد علي النفطي,NFT,2020,3,False,Bizerte
ministers,Q109045290,Mohamed Bousaïd,lat,BOUSAID,BSD,second_republic,,محمد بوسعيد,BSD,2020,3,False,
ministers,Q109544397,Mohamed Rekik,lat,REKIK,RK,second_republic,Sfax,محمد الرقيق,RK,2021,3,False,Sfax
ministers,Q109544397,Mohamed Rekik,lat,REKIK,RK,saied_exception,Sfax,محمد الرقيق,RK,2021,3,False,Sfax
ministers,Q110014103,Amel Adouani,lat,ADOUANI,DN,saied_exception,,آمال العدواني,DN,2021,3,False,
ministers,Q111701635,Souad Lamine-Jomni,lat,JOMNI,JMN,ben_ali,Kairouan,,,1988,5,False,Kairouan
ministers,Q115868368,Béchir Ennaji,lat,ENNAJI,NJ,monarchy,,,,1956,5,False,
ministers,Q116206588,Kalthoum Ben Rejeb,lat,BEN REJEB|REJEB,BNRJB|RJB,second_republic,,كلثوم بن رجب,BNRJB|RJB,2021,3,False,
ministers,Q116206588,Kalthoum Ben Rejeb,lat,BEN REJEB|REJEB,BNRJB|RJB,saied_exception,,كلثوم بن رجب,BNRJB|RJB,2021,3,False,
ministers,Q116730514,Nabil Ammar,lat,AMMAR,MR,saied_exception,Tunis,نبيل عمار,MR,2023,3,False,Tunis
ministers,Q117209481,Kamel Feki,lat,FEKI,FK,saied_exception,,كمال الفقي,FK,2023,3,False,
ministers,Q11775942,Salem Labiadh,lat,LABIADH,LBD,transition,Médenine,سالم الأبيض,BD,2013,3,False,Médenine
ministers,Q118382993,Mustapha Ferjani,lat,FERJANI,FRJN,second_republic,Tunis,مصطفى الفرجاني,FRJN,2021,3,False,Tunis
ministers,Q118382993,Mustapha Ferjani,lat,FERJANI,FRJN,saied_exception,Tunis,مصطفى الفرجاني,FRJN,2021,3,False,Tunis
ministers,Q121088468,Ahmed Hachani,lat,HACHANI,HSN,second_republic,Tunis,أحمد الحشاني,HSN,2021,0,True,Tunis
ministers,Q121088468,Ahmed Hachani,lat,HACHANI,HSN,saied_exception,Tunis,أحمد الحشاني,HSN,2021,0,True,Tunis
ministers,Q121356281,Ahmed Bennour,lat,BENNOUR,BNR,bourguiba,Tunis,أحمد بنور,BNR,1974,5,False,Tunis
ministers,Q121360095,Abderrazak Kéfi,lat,KEFI,KF,bourguiba,Kairouan,عبد الرزاق كافي,KF,1983,3,False,Kairouan
ministers,Q121360095,Abderrazak Kéfi,lat,KEFI,KF,ben_ali,Kairouan,عبد الرزاق كافي,KF,1983,3,False,Kairouan
ministers,Q12184481,Béchir Ben Slama,lat,BEN SLAMA|SLAMA,BNSLM|SLM,bourguiba,Tunis,البشير بن سلامة,BNSLM|SLM,1981,3,False,Tunis
ministers,Q12194585,Hédi Mabrouk,lat,MABROUK,MBRK,bourguiba,Monastir,الهادي المبروك,MBRK,1986,3,False,Monastir
ministers,Q12213166,Rejeb Khaznadar,lat,KHAZNADAR,XZNDR,beylical,,رجب خزندار,XZNDR,1759,0,True,
ministers,Q12214730,Zouheir M'dhaffer,lat,M'DHAFFER,MDFR,ben_ali,Sfax,زهير المظفر,MZFR,1999,3,False,Sfax
ministers,Q12217102,Sihem Ayadi,lat,AYADI,D,second_republic,,سهام العيادي,D,2020,3,False,
ministers,Q12220165,Slaheddine Baly,lat,BALY,BL,bourguiba,Tunis,صلاح الدين بالي,BL,1973,2,False,Tunis
ministers,Q12220165,Slaheddine Baly,lat,BALY,BL,ben_ali,Tunis,صلاح الدين بالي,BL,1973,2,False,Tunis
ministers,Q12228423,Amor Ben Mahmoud,lat,BEN MAHMOUD|MAHMOUD,BMHMD|MHMD,ben_ali,Kairouan,عمر بن محمود,BMHMD|MHMD,1999,5,False,Kairouan
ministers,Q12230326,Fethia Mzali,lat,MZALI,MZL,bourguiba,Tunis,فتحية مزالي,MZL,1983,3,False,Tunis
ministers,Q12237240,Lotfi Zitoun,lat,ZITOUN,ZTN,second_republic,Tunis,لطفي زيتون,ZTN,2020,3,False,Tunis
ministers,Q12239668,Mohamed Hamdi,lat,HAMDI,HMD,second_republic,Médenine,محمد بن مبروك الحامدي,HMD,2020,3,False,Médenine
ministers,Q12239709,Mohamed Daouas,lat,DAOUAS,DS,ben_ali,,محمد الدواس,DS,2001,3,False,
ministers,Q12239765,Mohamed Snoussi,lat,SNOUSSI,SNS,bourguiba,Tunis,محمد السنوسي,SNS,1969,3,False,Tunis
ministers,Q12239816,Mohamed Sayah,lat,SAYAH,SH,bourguiba,Monastir,محمد الصياح,SH,1969,2,False,Monastir
ministers,Q12240251,Mohamed Bellalouna,lat,BELLALOUNA,BLN,bourguiba,Sousse,محمد بن للونة,BNLN|LN,1971,3,False,Sousse
ministers,Q12240636,Mohamed Salah Ayari,lat,AYARI,R,bourguiba,Siliana,محمد صالح العياري,R,1986,3,False,Siliana
ministers,Q12246948,Mohamed Chaker,lat,CHAKER,SKR,bourguiba,Sfax,محمد شاكر,SKR,1979,3,False,Sfax
ministers,Q12248493,Naceur Ben Saïd,lat,BEN SAID|SAID,BNSD|SD,protectorate_end,Kébili,نصر بن سعيد,BNSD|SD,1954,3,False,Kébili
ministers,Q12270270,Othman Jerandi,lat,JERANDI,JRND,transition,Ben Arous,عثمان الجرندي,JRND,2013,3,False,Ben Arous
ministers,Q12270270,Othman Jerandi,lat,JERANDI,JRND,second_republic,Ben Arous,عثمان الجرندي,JRND,2013,3,False,Ben Arous
ministers,Q12270270,Othman Jerandi,lat,JERANDI,JRND,saied_exception,Ben Arous,عثمان الجرندي,JRND,2013,3,False,Ben Arous
ministers,Q12352837,Nadhir Ben Ammou,lat,BEN AMMOU|AMMOU,BM|M,transition,Nabeul,نذير بن عمو,BM|M,2013,3,False,Nabeul
ministers,Q124353858,Feryel Ouerghi,lat,OUERGHI,RV,second_republic,,فريال الورغي,RV,2021,3,False,
ministers,Q124353858,Feryel Ouerghi,lat,OUERGHI,RV,saied_exception,,فريال الورغي,RV,2021,3,False,
ministers,Q125330973,Saloua Abassi,lat,ABASSI,BS,saied_exception,,سلوى العباسي,BS,2024,3,False,
ministers,Q125337883,Fatma Thabet,lat,THABET,TBT,second_republic,Tunis,فاطمة ثابت,TBT,2021,3,False,Tunis
ministers,Q125337883,Fatma Thabet,lat,THABET,TBT,saied_exception,Tunis,فاطمة ثابت,TBT,2021,3,False,Tunis
ministers,Q128723414,Kamel Maddouri,lat,MADDOURI,MDR,second_republic,Béja,كمال المدوري,MDR,2021,0,True,Béja
ministers,Q128723414,Kamel Maddouri,lat,MADDOURI,MDR,saied_exception,Béja,كمال المدوري,MDR,2021,0,True,Béja
