layer,person_id,name_raw,script,surname_candidates,spine_candidates,period,subgroup,name_ar,spine_candidates_ar,first_year,max_rank_level,ever_head_of_government,birth_governorate
ministers,Q129810051,Khaled Sehili,lat,SEHILI,SHL,second_republic,Tunis,خالد_السهيلي,SHL,2021,3,False,Tunis
ministers,Q129810051,Khaled Sehili,lat,SEHILI,SHL,saied_exception,Tunis,خالد_السهيلي,SHL,2021,3,False,Tunis
ministers,Q130344076,Khaled Nouri,lat,NOURI,NR,second_republic,Sousse,خالد النوري,NR,2021,3,False,Sousse
ministers,Q130344076,Khaled Nouri,lat,NOURI,NR,saied_exception,Sousse,خالد النوري,NR,2021,3,False,Sousse
ministers,Q130530616,Philippe Dakpa Légré,lat,LEGRE,LKR,second_republic,,,,2020,3,False,
ministers,Q132560656,Mechket Slama,lat,SLAMA,SLM,second_republic,,مشكاة سلامة الخالدي,XLD,2021,3,False,
ministers,Q132560656,Mechket Slama,lat,SLAMA,SLM,saied_exception,,مشكاة سلامة الخالدي,XLD,2021,3,False,
ministers,Q132560774,Asma Jebri,lat,JEBRI,JBR,second_republic,Siliana,أسماء جابري,JBR,2021,3,False,Siliana
ministers,Q132560774,Asma Jebri,lat,JEBRI,JBR,saied_exception,Siliana,أسماء جابري,JBR,2021,3,False,Siliana
ministers,Q132633117,Ahmed Bouhali,lat,BOUHALI,BHL,second_republic,,أحمد البوهالي,BHL,2021,3,False,
ministers,Q132633117,Ahmed Bouhali,lat,BOUHALI,BHL,saied_exception,,أحمد البوهالي,BHL,2021,3,False,
ministers,Q132633142,Habib Abid,lat,ABID,BD,second_republic,Sfax,الحبيب عبيد,BD,2021,3,False,Sfax
ministers,Q132633142,Habib Abid,lat,ABID,BD,saied_exception,Sfax,الحبيب عبيد,BD,2021,3,False,Sfax
ministers,Q134414603,Soufiane Tekaya,lat,TEKAYA,TK,second_republic,Bizerte,سفيان تقية,TK,2021,3,False,Bizerte
ministers,Q134414603,Soufiane Tekaya,lat,TEKAYA,TK,saied_exception,Bizerte,سفيان تقية,TK,2021,3,False,Bizerte
ministers,Q136257453,Samir Abdelhafidh,lat,ABDELHAFIDH,BDHFD,second_republic,Médenine,سمير عبد الحفيظ,BDHFZ|HFZ,2021,3,False,Médenine
ministers,Q136257453,Samir Abdelhafidh,lat,ABDELHAFIDH,BDHFD,saied_exception,Médenine,سمير عبد الحفيظ,BDHFZ|HFZ,2021,3,False,Médenine
ministers,Q1363916,Hédi Baccouche,lat,BACCOUCHE,BKS,bourguiba,Sousse,الهادي البكوش,BKS,1984,0,True,Sousse
ministers,Q1363916,Hédi Baccouche,lat,BACCOUCHE,BKS,ben_ali,Sousse,الهادي البكوش,BKS,1984,0,True,Sousse
ministers,Q136456985,Slah Zouari,lat,ZOUARI,ZR,second_republic,Sfax,صلاح الزواري,ZR,2021,3,False,Sfax
ministers,Q136456985,Slah Zouari,lat,ZOUARI,ZR,saied_exception,Sfax,صلاح الزواري,ZR,2021,3,False,Sfax
ministers,Q1366613,Kheireddine Pacha,lat,PACHA,BS,beylical,,خير الدين التونسي,TNS,1873,0,True,
ministers,Q136769587,Saïda Rached,lat,RACHED,RSD,transition,,سعيدة راشد,RSD,2013,3,False,
ministers,Q1380979,Slim Amamou,lat,AMAMOU,M,transition,Tunis,سليم عمامو,M,2011,5,False,Tunis
ministers,Q1381809,Hamed Karoui,lat,KAROUI,KR,bourguiba,Sousse,حامد القروي,KR,1980,0,True,Sousse
ministers,Q1381809,Hamed Karoui,lat,KAROUI,KR,ben_ali,Sousse,حامد القروي,KR,1980,0,True,Sousse
ministers,Q1384598,Mustapha Khaznadar,lat,KHAZNADAR,XZNDR,beylical,,مصطفى خزندار,XZNDR,1855,0,True,
ministers,Q138863507,Noureddine Nouri,lat,NOURI,NR,second_republic,Sidi Bouzid,نور الدين النوري,NR,2021,3,False,Sidi Bouzid
ministers,Q138863507,Noureddine Nouri,lat,NOURI,NR,saied_exception,Sidi Bouzid,نور الدين النوري,NR,2021,3,False,Sidi Bouzid
ministers,Q138913276,Fethi Zouhair Nouri,lat,NOURI,NR,saied_exception,Tunis,,,2024,3,False,Tunis
ministers,Q139583145,Mohamed El Béji Hamda,lat,HAMDA,HMD,ben_ali,Bizerte,,,1990,3,False,Bizerte
ministers,Q139820983,Imed Derbali,lat,DERBALI,DRBL,saied_exception,,عماد الدربالي,DRBL,2025,0,False,
ministers,Q140077197,Abdelmonem Belati,lat,BELATI,BLT,second_republic,,عبد المنعم بلعاتي,BLT,2021,3,False,
ministers,Q140077197,Abdelmonem Belati,lat,BELATI,BLT,saied_exception,,عبد المنعم بلعاتي,BLT,2021,3,False,
ministers,Q14182276,Touhami Abdouli,lat,ABDOULI,BDL,transition,Sousse,التوهامي عبدولي,BDL,2011,3,False,Sousse
ministers,Q14182276,Touhami Abdouli,lat,ABDOULI,BDL,second_republic,Sousse,التوهامي عبدولي,BDL,2011,3,False,Sousse
ministers,Q15055101,Mustapha Bouaziz,lat,BOUAZIZ,BZ,ben_ali,,مصطفى بوعزيز,BZ,1989,3,False,
ministers,Q152369,Fouad Mebazaa,lat,MEBAZAA,MBZ,bourguiba,Sidi Bouzid,فؤاد المبزع,MBZ,1973,3,False,Sidi Bouzid
ministers,Q15304780,Mehdi Jomaa,lat,JOMAA,JM,transition,Mahdia,مهدي جمعة,JM,2013,0,True,Mahdia
ministers,Q1530765,Habib Chatti,lat,CHATTI,ST,bourguiba,Sousse,الحبيب الشطي,ST,1974,3,False,Sousse
ministers,Q15703367,Amel Karboul,lat,KARBOUL,KRBL,transition,Tunis,آمال كربول,KRBL,2014,3,False,Tunis
ministers,Q15829893,Mongi Hamdi,lat,HAMDI,HMD,transition,Sidi Bouzid,منجي حامدي,HMD,2014,3,False,Sidi Bouzid
ministers,Q16027758,Leïla Bahria,lat,BAHRIA,BHR,transition,,ليلى بحرية,BHR,2013,5,False,
ministers,Q16027761,Ridha Ben Ali,lat,BEN ALI|ALI,BNL|L,bourguiba,,رضا بن علي,BNL|L,1984,3,False,
ministers,Q16027763,Hafedh Ben Salah,lat,BEN SALAH|SALAH,BNSLH|SLH,transition,Monastir,حافظ بن صالح,BNSLH|SLH,2014,3,False,Monastir
ministers,Q16027804,Saïd Mechichi,lat,MECHICHI,MS,transition,Jendouba,سعيد المشيشي,MS,2011,5,False,Jendouba
ministers,Q16027809,Mohamed Raouf Najar,lat,NAJAR,NJR,ben_ali,Gabès,محمد رؤوف النجار,NJR,1989,3,False,Gabès
ministers,Q16117997,Abderrazak Rassâa,lat,RASSAA,RS,monarchy,Tunis,عبد الرزاق الرصاع,RS,1956,3,False,Tunis
ministers,Q16117997,Abderrazak Rassâa,lat,RASSAA,RS,bourguiba,Tunis,عبد الرزاق الرصاع,RS,1956,3,False,Tunis
ministers,Q16120212,Mohamed Salah Ben Ammar,lat,BEN AMMAR|AMMAR,BMR|MR,transition,Tunis,محمد الصالح بن عمار,BMR|MR,2014,3,False,Tunis
ministers,Q16123702,Kamel Ben Naceur,lat,BEN NACEUR|NACEUR,BNSR|NSR,transition,Gafsa,كمال بالناصر,BLNSR,2014,3,False,Gafsa
ministers,Q16127215,Zakaria Ben Mustapha,lat,BEN MUSTAPHA|MUSTAPHA,BMSTF|MSTF,bourguiba,,زكريا بن مصطفى,BMSTF|MSTF,1986,3,False,
ministers,Q16167736,Mongi Chouchane,lat,CHOUCHANE,SN,ben_ali,Nabeul,منجي شوشان,SN,1999,5,False,Nabeul
ministers,Q16171996,Lamine Doghri,lat,DOGHRI,DVR,transition,Tunis,لمين الدغري,DVR,2013,3,False,Tunis
ministers,Q16178347,Abdelhafidh Harguem,lat,HARGUEM,HRKM,ben_ali,Kairouan,عبد الحفيظ الهرقام,HRKM,2008,5,False,Kairouan
ministers,Q16180211,Habib Jemli,lat,JEMLI,JML,transition,Kairouan,الحبيب الجملي,JML,2011,3,False,Kairouan
ministers,Q16180628,Abdallah Kaâbi,lat,KAABI,KB,ben_ali,Kairouan,عبد الله الكعبي,KB,1999,3,False,Kairouan
ministers,Q16221270,Tahar Kheireddine,lat,KHEIREDDINE,XRDN,,,الطاهر خير الدين,XRDN,,3,False,
ministers,Q16222569,Salem Snadly,lat,SNADLY,SNDL,,,سالم الصنادلي,SNDL,,3,False,
ministers,Q16262803,Dhaoui Hannablia,lat,HANNABLIA,HNMBL,bourguiba,Le Kef,الضاوي حنابلية,HMBL,1971,3,False,Le Kef
ministers,Q16262805,Mohamed Jeddi,lat,JEDDI,JD,monarchy,Le Kef,محمد الجدي,JD,1956,3,False,Le Kef
ministers,Q16262805,Mohamed Jeddi,lat,JEDDI,JD,bourguiba,Le Kef,محمد الجدي,JD,1956,3,False,Le Kef
ministers,Q16263000,Brahim Khouaja,lat,KHOUAJA,XJ,bourguiba,Mahdia,إبراهيم خواجة,XJ,1979,3,False,Mahdia
ministers,Q16263000,Brahim Khouaja,lat,KHOUAJA,XJ,ben_ali,Mahdia,إبراهيم خواجة,XJ,1979,3,False,Mahdia
ministers,Q16267511,Faïza Kefi,lat,KEFI,KF,ben_ali,Tunis,فائزة الكافي,KF,1999,3,False,Tunis
ministers,Q16267906,Jalloul Ayed,lat,AYED,D,ben_ali,Monastir,جلول عياد,D,2011,3,False,Monastir
ministers,Q16267906,Jalloul Ayed,lat,AYED,D,transition,Monastir,جلول عياد,D,2011,3,False,Monastir
ministers,Q16268984,El Hadj Gley,lat,EL GLEY|GLEY,KL|KL,ben_ali,Gafsa,الحاج قلاعي,KL,1999,3,False,Gafsa
ministers,Q16269532,Aleya Bettaïb,lat,BETTAIB,BTB,transition,Nabeul,علية بالطيب,BLTB,2011,3,False,Nabeul
ministers,Q16269694,Jamel Gamra,lat,GAMRA,KMR,transition,Monastir,جمال قمرة,KMR,2013,3,False,Monastir
ministers,Q16321385,Mounir Jaïdane,lat,JAIDANE,JDN,ben_ali,Sousse,منير جعيدان,JDN,1999,3,False,Sousse
ministers,Q16325226,Boubaker El Akhzouri,lat,EL AKHZOURI|AKHZOURI,XZR|XZR,ben_ali,Médenine,بوبكر الأخزوري,XZR,1999,3,False,Médenine
ministers,Q16325262,Ezzeddine Abassi,lat,ABASSI,BS,protectorate,Tunis,عز الدين العباسي,BS,1954,3,False,Tunis
ministers,Q16325262,Ezzeddine Abassi,lat,ABASSI,BS,protectorate_end,Tunis,عز الدين العباسي,BS,1954,3,False,Tunis
ministers,Q16325262,Ezzeddine Abassi,lat,ABASSI,BS,monarchy,Tunis,عز الدين العباسي,BS,1954,3,False,Tunis
ministers,Q16325262,Ezzeddine Abassi,lat,ABASSI,BS,bourguiba,Tunis,عز الدين العباسي,BS,1954,3,False,Tunis
ministers,Q1642894,Hédi Nouira,lat,NOUIRA,NR,protectorate,Monastir,الهادي نويرة,NR,1954,0,True,Monastir
ministers,Q1642894,Hédi Nouira,lat,NOUIRA,NR,protectorate_end,Monastir,الهادي نويرة,NR,1954,0,True,Monastir
ministers,Q1642894,Hédi Nouira,lat,NOUIRA,NR,monarchy,Monastir,الهادي نويرة,NR,1954,0,True,Monastir
ministers,Q1642894,Hédi Nouira,lat,NOUIRA,NR,bourguiba,Monastir,الهادي نويرة,NR,1954,0,True,Monastir
ministers,Q16588807,Mohamed Fraj Chedly,lat,CHEDLY,SDL,bourguiba,Kairouan,محمد فرج الشاذلي,SDL,1980,3,False,Kairouan
ministers,Q16639035,Ghazi Jeribi,lat,JERIBI,JRB,transition,Tunis,غازي الجريبي,JRB,2014,3,False,Tunis
ministers,Q16639035,Ghazi Jeribi,lat,JERIBI,JRB,second_republic,Tunis,غازي الجريبي,JRB,2014,3,False,Tunis
ministers,Q16642407,Houcine Jaziri,lat,JAZIRI,JZR,transition,Médenine,حسين الجزيري,JZR,2011,3,False,Médenine
ministers,Q16664915,Mohamed Ben Rejeb,lat,BEN REJEB|REJEB,BNRJB|RJB,ben_ali,Nabeul,محمد بن رجب,BNRJB|RJB,1989,3,False,Nabeul
ministers,Q16664925,Mohamed Jeri,lat,JERI,JR,ben_ali,Médenine,محمد الجريء,JR,1988,3,False,Médenine
ministers,Q16665400,Mounir Tlili,lat,TLILI,TL,transition,Médenine,منير التليلي,TL,2014,3,False,Médenine
ministers,Q16666126,Naoufel Jammali,lat,JAMMALI,JML,transition,Tunis,نوفل الجمالي,JML,2013,3,False,Tunis
ministers,Q16666273,Nejla Moalla Harrouch,lat,HARROUCH,HRS,transition,Tunis,نجلاء حروش,HRS,2014,3,False,Tunis
ministers,Q16666543,Nidhal Ouerfelli,lat,OUERFELLI,RFL,transition,Tunis,نضال الورفلي,RFL,2013,3,False,Tunis
ministers,Q16666835,Noureddine Kaâbi,lat,KAABI,KB,transition,Tunis,نور الدين الكعبي,KB,2013,5,False,Tunis
ministers,Q16666837,Nouri Zorgati,lat,ZORGATI,ZRKT,bourguiba,Sousse,النوري الزرقاطي,ZRKT,1987,3,False,Sousse
ministers,Q16666837,Nouri Zorgati,lat,ZORGATI,ZRKT,ben_ali,Sousse,النوري الزرقاطي,ZRKT,1987,3,False,Sousse
ministers,Q16679067,Tawfik Jelassi,lat,JELASSI,JLS,transition,Monastir,توفيق الجلاصي,JLS,2014,3,False,Monastir
ministers,Q16802173,Ahmed Ammar Younbaii,lat,YOUNBAII,MB,transition,Tozeur,أحمد عمار الينباعي,MB,2014,3,False,Tozeur
ministers,Q16802173,Ahmed Ammar Younbaii,lat,YOUNBAII,MB,second_republic,Tozeur,أحمد عمار الينباعي,MB,2014,3,False,Tozeur
ministers,Q16855080,Chiheb Ben Ahmed,lat,BEN AHMED|AHMED,BNHMD|HMD,transition,Sfax,شهاب بن أحمد,BNHMD|HMD,2014,3,False,Sfax
ministers,Q16855080,Chiheb Ben Ahmed,lat,BEN AHMED|AHMED,BNHMD|HMD,second_republic,Sfax,شهاب بن أحمد,BNHMD|HMD,2014,3,False,Sfax
ministers,Q16855104,Saber Bouatay,lat,BOUATAY,BT,transition,Tunis,صابر بوعطي,BT,2014,3,False,Tunis
ministers,Q16855223,Fathi Jarray,lat,JARRAY,JR,transition,Médenine,فتحي الجراي,JR,2014,3,False,Médenine
