source,target,portfolio,handover_date,predecessor_tenure_days,era,weight,tie_type
TN-abdelkader-belkhodja,TN-mohamed-saadallah,agriculture,1950-01-01,1096.0,protectorate,1,succession
TN-mohamed-saadallah,TN-abdelaziz-menchari,agriculture,1952-01-01,730.0,protectorate,1,succession
TN-abdelaziz-menchari,TN-mohamed-badra,agriculture,1954-01-01,731.0,protectorate,1,succession
TN-mohamed-badra,TN-abdelkader-belkhodja,agriculture,1954-01-01,730.0,protectorate,1,succession
TN-abdelkader-belkhodja,Q29580475,agriculture,1954-08-07,0.0,protectorate_end,1,succession
Q29580475,TN-unknown-23,agriculture,1954-08-07,613.0,protectorate_end,1,succession
TN-unknown-23,Q3328946,agriculture,1956-01-01,613.0,protectorate_end,1,succession
Q3328946,Q2820925,agriculture,1956-04-15,366.0,monarchy,1,succession
Q2820925,Q3328946,agriculture,1956-04-15,466.0,monarchy,1,succession
Q3328946,Q16262805,agriculture,1957-01-01,466.0,monarchy,1,succession
Q16262805,Q2820925,agriculture,1957-01-01,4383.0,monarchy,1,succession
Q2820925,Q2821308,agriculture,1958-12-30,4383.0,bourguiba,1,succession
Q2821308,Q3331012,agriculture,1962-04-03,1190.0,bourguiba,1,succession
Q3331012,Q16262805,agriculture,1964-11-12,954.0,bourguiba,1,succession
Q16262805,Q22928978,agriculture,1967-07-26,986.0,bourguiba,1,succession
Q22928978,Q2374730,agriculture,1969-01-01,775.0,bourguiba,1,succession
Q2374730,Q2820925,agriculture,1969-01-01,365.0,bourguiba,1,succession
Q2820925,Q22928978,agriculture,1969-01-01,365.0,bourguiba,1,succession
Q22928978,Q2820925,agriculture,1969-09-08,365.0,bourguiba,1,succession
Q2820925,Q2374730,agriculture,1969-11-07,781.0,bourguiba,1,succession
Q2374730,Q22928978,agriculture,1969-11-07,360.0,bourguiba,1,succession
Q22928978,TN-abderrahman-ben-messaoud,agriculture,1970-01-01,360.0,bourguiba,1,succession
TN-abderrahman-ben-messaoud,Q2820925,agriculture,1970-01-01,3652.0,bourguiba,1,succession
Q2820925,Q3128202,agriculture,1970-01-01,3652.0,bourguiba,1,succession
Q3128202,Q22928978,agriculture,1970-01-01,3652.0,bourguiba,1,succession
Q22928978,Q16262803,agriculture,1970-01-01,3652.0,bourguiba,1,succession
Q16262803,Q29580479,agriculture,1970-01-01,3652.0,bourguiba,1,succession
Q29580479,Q2820925,agriculture,1970-11-02,3652.0,bourguiba,1,succession
Q2820925,Q16262803,agriculture,1971-10-29,3460.0,bourguiba,1,succession
Q16262803,Q3128202,agriculture,1974-09-25,1062.0,bourguiba,1,succession
Q3128202,Q22928978,agriculture,1979-11-07,1869.0,bourguiba,1,succession
Q22928978,TN-unknown-162,agriculture,1980-04-23,3185.0,bourguiba,1,succession
TN-unknown-162,Q22928978,agriculture,1987-01-01,2267.0,bourguiba,1,succession
Q22928978,TN-ameur-horchani,agriculture,1987-01-01,365.0,bourguiba,1,succession
TN-ameur-horchani,TN-unknown-220,agriculture,1987-11-07,365.0,ben_ali,1,succession
TN-unknown-220,TN-ameur-horchani,agriculture,1988-01-01,690.0,ben_ali,1,succession
TN-ameur-horchani,TN-mohsen-boujbal,agriculture,1988-01-01,366.0,ben_ali,1,succession
TN-mohsen-boujbal,Q17425841,agriculture,1988-01-01,366.0,ben_ali,1,succession
Q17425841,TN-ameur-horchani,agriculture,1989-01-01,366.0,ben_ali,1,succession
TN-ameur-horchani,Q16666837,agriculture,1989-01-01,3652.0,ben_ali,1,succession
Q16666837,TN-mohsen-boujbal,agriculture,1989-01-01,0.0,ben_ali,1,succession
TN-mohsen-boujbal,TN-ameur-horchani,agriculture,1989-01-01,0.0,ben_ali,1,succession
TN-ameur-horchani,Q16666837,agriculture,1989-01-01,3652.0,ben_ali,1,succession
Q16666837,Q16664915,agriculture,1989-01-01,3652.0,ben_ali,1,succession
Q16664915,Q17580016,agriculture,1989-01-01,3652.0,ben_ali,1,succession
Q17580016,Q19060346,agriculture,1989-01-01,3652.0,ben_ali,1,succession
Q19060346,Q19629356,agriculture,1989-01-01,3652.0,ben_ali,1,succession
Q19629356,Q19060346,agriculture,1989-01-01,3652.0,ben_ali,1,succession
Q19060346,TN-mouldi-zouaoui,agriculture,1989-01-01,3652.0,ben_ali,1,succession
TN-mouldi-zouaoui,Q16666837,agriculture,1989-04-11,3652.0,ben_ali,1,succession
Q16666837,Q17580016,agriculture,1989-09-27,680.0,ben_ali,1,succession
Q17580016,Q16664915,agriculture,1989-09-27,3703.0,ben_ali,1,succession
Q16664915,Q16666837,agriculture,1989-09-27,3703.0,ben_ali,1,succession
Q16666837,TN-unknown-174,agriculture,1989-09-27,3703.0,ben_ali,1,succession
TN-unknown-174,Q19629356,agriculture,1989-09-27,3703.0,ben_ali,1,succession
Q19629356,Q19060346,agriculture,1989-09-27,3703.0,ben_ali,1,succession
Q19060346,TN-unknown-172,agriculture,1989-09-27,3703.0,ben_ali,1,succession
TN-unknown-172,Q16664915,agriculture,1993-06-15,3703.0,ben_ali,1,succession
Q16664915,Q17580016,agriculture,1997-01-22,1317.0,ben_ali,1,succession
Q17580016,Q19629356,agriculture,1997-10-09,260.0,ben_ali,1,succession
Q19629356,TN-abderrazak-daaloul,agriculture,1999-01-01,1792.0,ben_ali,1,succession
TN-abderrazak-daaloul,Q19629356,agriculture,1999-01-01,4383.0,ben_ali,1,succession
Q19629356,Q3334855,agriculture,1999-01-01,4383.0,ben_ali,1,succession
Q3334855,Q2821297,agriculture,1999-01-01,4383.0,ben_ali,1,succession
