governorate,ministers,population,population_share,minister_share,ratio
Tunis,214,1075306,0.0898,0.3386,3.77
Tozeur,11,120036,0.01,0.0174,1.736
Monastir,51,599769,0.0501,0.0807,1.611
Médenine,36,537255,0.0449,0.057,1.269
Mahdia,28,449985,0.0376,0.0443,1.179
Sousse,47,762281,0.0637,0.0744,1.168
Gafsa,22,388776,0.0325,0.0348,1.072
Gabès,21,410847,0.0343,0.0332,0.968
Le Kef,12,237686,0.0199,0.019,0.956
Kairouan,29,600803,0.0502,0.0459,0.914
Sfax,49,1047468,0.0875,0.0775,0.886
Siliana,8,216242,0.0181,0.0127,0.701
Nabeul,29,863172,0.0721,0.0459,0.636
Béja,10,311417,0.026,0.0158,0.608
Bizerte,16,607388,0.0507,0.0253,0.499
Kasserine,11,492741,0.0412,0.0174,0.423
Zaghouan,4,201065,0.0168,0.0063,0.377
Ben Arous,14,722828,0.0604,0.0222,0.367
Jendouba,7,404352,0.0338,0.0111,0.328
Sidi Bouzid,6,489991,0.0409,0.0095,0.232
Kébili,2,183201,0.0153,0.0032,0.207
Manouba,4,418354,0.0349,0.0063,0.181
Tataouine,1,162654,0.0136,0.0016,0.116
Ariana,0,668552,0.0558,0.0,0.0
