source,target,tie_type,weight,shared_values
Q100261455,Q19956120,shared_birth_region,1,le kef
Q100261455,Q980071,shared_birth_region,1,le kef
Q1043040,Q104821906,shared_education,1,ecole nationale d'administration
Q1043040,Q104828106,shared_education,1,ecole nationale d'administration
Q1043040,Q10514449,shared_parties,1,tahya tounes
Q1043040,Q108159069,shared_education,1,ecole nationale d'administration
Q1043040,Q108892351,shared_education,1,ecole nationale d'administration
Q1043040,Q108892355,shared_education,1,ecole nationale d'administration
Q1043040,Q108892363,shared_education,1,ecole nationale d'administration
Q1043040,Q108892366,shared_education,1,ecole nationale d'administration
Q1043040,Q108892374,shared_education,1,ecole nationale d'administration
Q1043040,Q116206588,shared_education,1,ecole nationale d'administration
Q1043040,Q116730514,shared_education,1,ecole nationale d'administration
Q1043040,Q1363916,shared_birth_region,1,delegation de hammam sousse
Q1043040,Q139920120,shared_education,1,ecole nationale d'administration
Q1043040,Q16267511,shared_education,1,ecole nationale d'administration
Q1043040,Q16268984,shared_education,1,ecole nationale d'administration
Q1043040,Q16321385,shared_education,1,ecole nationale d'administration
Q1043040,Q16664925,shared_education,1,ecole nationale d'administration
Q1043040,Q16802173,shared_education,1,ecole nationale d'administration
Q1043040,Q17154190,shared_education,1,ecole nationale d'administration
Q1043040,Q19544690,shared_education,1,ecole nationale d'administration
Q1043040,Q204487,shared_birth_region,1,delegation de hammam sousse
Q1043040,Q21996842,shared_education,1,ecole nationale d'administration
Q1043040,Q25391268,shared_parties,1,tahya tounes
Q1043040,Q26905827,shared_parties,1,initiative destourienne democratique
Q1043040,Q2820931,shared_education,1,ecole nationale d'administration
Q1043040,Q2821210,shared_education,1,ecole nationale d'administration
Q1043040,Q28869633,shared_education,1,ecole nationale d'administration
Q1043040,Q2893398,shared_education,1,ecole nationale d'administration
Q1043040,Q2972023,shared_education,1,ecole nationale d'administration
Q1043040,Q30728984,shared_education,1,ecole nationale d'administration
Q1043040,Q3079840,shared_education,1,ecole nationale d'administration
Q1043040,Q3318311,shared_education,1,ecole nationale d'administration
Q1043040,Q3318622,shared_birth_region,1,delegation de hammam sousse
Q1043040,Q3319148,shared_education,1,ecole nationale d'administration
Q1043040,Q3319366,shared_education,1,ecole nationale d'administration
Q1043040,Q3328959,shared_education,1,ecole nationale d'administration
Q1043040,Q3334747,shared_education,1,ecole nationale d'administration
Q1043040,Q3431743,shared_education,1,ecole nationale d'administration
Q1043040,Q3470847,shared_parties,1,tahya tounes
Q1043040,Q3515404,shared_education,1,ecole nationale d'administration
Q1043040,Q43304124,shared_parties,1,tahya tounes
Q1043040,Q60573413,shared_education,1,ecole nationale d'administration
Q1043040,Q61598250,shared_education,1,ecole nationale d'administration
Q1043040,Q62601798,shared_parties,1,tahya tounes
Q1043040,Q65130650,shared_education,1,ecole nationale d'administration
Q1043040,Q744499,shared_education,1,ecole nationale d'administration
Q1043040,Q88467296,shared_birth_region,1,delegation de hammam sousse
Q1043040,Q88485687,shared_education,1,ecole nationale d'administration
Q1043040,Q89996191,shared_education,1,ecole nationale d'administration
Q1043040,Q91626084,shared_education,1,ecole nationale d'administration
Q104602558,Q10514449,shared_birth_region,1,bizerte
Q104602558,Q109045280,shared_birth_region,1,bizerte
Q104602558,Q134414603,shared_birth_region,1,bizerte
Q104602558,Q21091553,shared_parties,1,machrouu tounes
Q104602558,Q22210502,shared_birth_region,1,bizerte
Q104602558,Q23017371,shared_birth_region,1,bizerte
Q104602558,Q29577522,shared_parties,1,machrouu tounes
Q104602558,Q30729169,shared_birth_region,1,bizerte
Q104602558,Q3328917,shared_birth_region,1,bizerte
Q104821906,Q104828106,shared_education,1,ecole nationale d'administration
Q104821906,Q108159069,shared_education,1,ecole nationale d'administration
Q104821906,Q108892351,shared_education,1,ecole nationale d'administration
Q104821906,Q108892355,shared_education,1,ecole nationale d'administration
Q104821906,Q108892363,shared_education,2,ecole nationale d'administration|institut de defense nationale
Q104821906,Q108892366,shared_education,1,ecole nationale d'administration
Q104821906,Q108892374,shared_education,2,ecole nationale d'administration|institut de defense nationale
Q104821906,Q116206588,shared_education,1,ecole nationale d'administration
Q104821906,Q116730514,shared_education,2,ecole nationale d'administration|institut de defense nationale
Q104821906,Q118382993,shared_education,1,institut de defense nationale
Q104821906,Q139920120,shared_education,1,ecole nationale d'administration
Q104821906,Q140077197,shared_education,1,institut de defense nationale
Q104821906,Q16267511,shared_education,1,ecole nationale d'administration
Q104821906,Q16268984,shared_education,2,ecole nationale d'administration|institut de defense nationale
Q104821906,Q16269558,shared_education,1,universite paris-dauphine
Q104821906,Q16321385,shared_education,1,ecole nationale d'administration
Q104821906,Q16664925,shared_education,1,ecole nationale d'administration
Q104821906,Q16802173,shared_education,1,ecole nationale d'administration
Q104821906,Q17154190,shared_education,1,ecole nationale d'administration
Q104821906,Q19060319,shared_education,1,institut de defense nationale
Q104821906,Q19544690,shared_education,1,ecole nationale d'administration
Q104821906,Q21996842,shared_education,1,ecole nationale d'administration
Q104821906,Q27999577,shared_education,1,universite paris-dauphine
Q104821906,Q2820931,shared_education,1,ecole nationale d'administration
Q104821906,Q2821210,shared_education,1,ecole nationale d'administration
Q104821906,Q28869633,shared_education,1,ecole nationale d'administration
Q104821906,Q2893398,shared_education,1,ecole nationale d'administration
Q104821906,Q2972023,shared_education,1,ecole nationale d'administration
Q104821906,Q30728984,shared_education,1,ecole nationale d'administration
Q104821906,Q3079840,shared_education,1,ecole nationale d'administration
Q104821906,Q3318311,shared_education,1,ecole nationale d'administration
Q104821906,Q3319148,shared_education,1,ecole nationale d'administration
Q104821906,Q3319366,shared_education,1,ecole nationale d'administration
Q104821906,Q3328959,shared_education,1,ecole nationale d'administration
Q104821906,Q3334747,shared_education,1,ecole nationale d'administration
Q104821906,Q3431743,shared_education,1,ecole nationale d'administration
Q104821906,Q3486507,shared_education,1,universite paris-dauphine
Q104821906,Q3515404,shared_education,1,ecole nationale d'administration
Q104821906,Q60573413,shared_education,1,ecole nationale d'administration
Q104821906,Q61598250,shared_education,2,ecole nationale d'administration|institut de defense nationale
Q104821906,Q65130650,shared_education,1,ecole nationale d'administration
Q104821906,Q744499,shared_education,1,ecole nationale d'administration
Q104821906,Q88485687,shared_education,1,ecole nationale d'administration
Q104821906,Q89996191,shared_education,1,ecole nationale d'administration
Q104821906,Q91626084,shared_education,1,ecole nationale d'administration
Q104821906,Q98828537,shared_education,1,universite paris-dauphine
Q104828106,Q108159069,shared_education,1,ecole nationale d'administration
Q104828106,Q108892351,shared_education,2,ecole nationale d'administration|faculte des sciences juridiques politiques et sociales de tunis
Q104828106,Q108892355,shared_education,1,ecole nationale d'administration
Q104828106,Q108892363,shared_education,1,ecole nationale d'administration
Q104828106,Q108892366,shared_education,1,ecole nationale d'administration
Q104828106,Q108892374,shared_education,1,ecole nationale d'administration
Q104828106,Q116206588,shared_education,1,ecole nationale d'administration
Q104828106,Q116730514,shared_education,1,ecole nationale d'administration
Q104828106,Q129810051,shared_education,1,faculte des sciences juridiques politiques et sociales de tunis
Q104828106,Q139920120,shared_education,1,ecole nationale d'administration
Q104828106,Q16267511,shared_education,1,ecole nationale d'administration
Q104828106,Q16268984,shared_education,1,ecole nationale d'administration
Q104828106,Q16321385,shared_education,1,ecole nationale d'administration
Q104828106,Q16664925,shared_education,1,ecole nationale d'administration
Q104828106,Q16802173,shared_education,1,ecole nationale d'administration
Q104828106,Q17154190,shared_education,1,ecole nationale d'administration
Q104828106,Q19544690,shared_education,1,ecole nationale d'administration
Q104828106,Q21996842,shared_education,1,ecole nationale d'administration
Q104828106,Q2820931,shared_education,1,ecole nationale d'administration
Q104828106,Q2821210,shared_education,1,ecole nationale d'administration
Q104828106,Q28869633,shared_education,1,ecole nationale d'administration
Q104828106,Q2893398,shared_education,1,ecole nationale d'administration
Q104828106,Q2972023,shared_education,1,ecole nationale d'administration
Q104828106,Q30728984,shared_education,1,ecole nationale d'administration
Q104828106,Q3079840,shared_education,1,ecole nationale d'administration
Q104828106,Q3318311,shared_education,1,ecole nationale d'administration
Q104828106,Q3319148,shared_education,1,ecole nationale d'administration
Q104828106,Q3319366,shared_education,1,ecole nationale d'administration
Q104828106,Q3328959,shared_education,1,ecole nationale d'administration
Q104828106,Q3334747,shared_education,1,ecole nationale d'administration
Q104828106,Q3431743,shared_education,1,ecole nationale d'administration
Q104828106,Q3515404,shared_education,1,ecole nationale d'administration
Q104828106,Q60573413,shared_education,1,ecole nationale d'administration
Q104828106,Q61598250,shared_education,1,ecole nationale d'administration
Q104828106,Q65130650,shared_education,1,ecole nationale d'administration
Q104828106,Q744499,shared_education,1,ecole nationale d'administration
Q104828106,Q88485687,shared_education,1,ecole nationale d'administration
Q104828106,Q89996191,shared_education,1,ecole nationale d'administration
Q104828106,Q91626084,shared_education,1,ecole nationale d'administration
Q104828106,Q98828346,shared_education,1,faculte des sciences juridiques politiques et sociales de tunis
Q104873425,Q3344889,shared_birth_region,1,delegation de thala
Q10514449,Q10591389,shared_parties,1,parti democrate progressiste
Q10514449,Q109045280,shared_birth_region,1,bizerte
Q10514449,Q12237240,shared_parties,1,ennahdha
Q10514449,Q12239668,shared_parties,1,parti democrate progressiste
Q10514449,Q12352837,shared_parties,1,ennahdha
Q10514449,Q134414603,shared_birth_region,1,bizerte
Q10514449,Q16642407,shared_parties,1,ennahdha
Q10514449,Q16666126,shared_parties,1,ennahdha
Q10514449,Q19543880,shared_parties,1,ennahdha
Q10514449,Q19544932,shared_parties,1,ennahdha
Q10514449,Q22210502,shared_birth_region,1,bizerte
Q10514449,Q23017371,shared_birth_region,1,bizerte
Q10514449,Q25391268,shared_parties,1,tahya tounes
Q10514449,Q25453450,shared_parties,1,ennahdha
Q10514449,Q26834002,shared_parties,1,ennahdha
Q10514449,Q27666209,shared_parties,1,ennahdha
Q10514449,Q27999577,shared_parties,1,parti democrate progressiste
Q10514449,Q281184,shared_parties,1,ennahdha
Q10514449,Q2821119,shared_parties,1,ennahdha
Q10514449,Q2821154,shared_parties,1,ennahdha
Q10514449,Q2827633,shared_parties,1,parti democrate progressiste
Q10514449,Q28714939,shared_parties,1,ennahdha
Q10514449,Q2947600,shared_parties,1,ennahdha
Q10514449,Q29577510,shared_parties,1,ennahdha
Q10514449,Q30217461,shared_parties,1,ennahdha
Q10514449,Q30729169,shared_birth_region,1,bizerte
Q10514449,Q3160876,shared_parties,1,ennahdha
Q10514449,Q3304511,shared_parties,1,parti democrate progressiste
Q10514449,Q3318419,shared_parties,1,ennahdha
Q10514449,Q3318652,shared_parties,1,ennahdha
Q10514449,Q3318800,shared_parties,1,ennahdha
Q10514449,Q3320435,shared_parties,1,ennahdha
Q10514449,Q3328917,shared_birth_region,1,bizerte
Q10514449,Q3417420,shared_parties,1,ennahdha
Q10514449,Q3430010,shared_parties,1,ennahdha
Q10514449,Q3431747,shared_parties,1,ennahdha
Q10514449,Q3470837,shared_parties,1,ennahdha
Q10514449,Q3470847,shared_parties,1,tahya tounes
Q10514449,Q3486675,shared_parties,1,ennahdha
Q10514449,Q43304124,shared_parties,1,tahya tounes
Q10514449,Q55999324,shared_parties,1,ennahdha
Q10514449,Q57699,shared_parties,1,ennahdha
Q10514449,Q62601798,shared_parties,1,tahya tounes
Q10514449,Q668526,shared_parties,1,ennahdha
Q10514449,Q86734094,shared_parties,1,ennahdha
Q10514449,Q92332624,shared_parties,1,ennahdha
Q10591389,Q12239668,shared_parties,1,parti democrate progressiste
Q10591389,Q132560774,shared_birth_region,1,delegation de siliana nord
Q10591389,Q16679067,shared_parties,1,al joumhouri
Q10591389,Q25391268,shared_parties,1,al joumhouri
Q10591389,Q26505382,shared_birth_region,1,delegation de siliana nord
Q10591389,Q27999577,shared_parties,1,parti democrate progressiste
