appointment_id,record_id,cabinet_id,spell_id,cabinet_article,raw_title,person_name,person_wikilink,portfolio,rank,is_interim,start_date,end_date,date_precision,date_basis,source,source_ref,confidence,table_caption,party_raw,replaces,replaced_by,person_id,end_date_unreliable,tenure_days,is_incumbent,portfolio_label,portfolio_power_rank,rank_level,era,president,head_of_government,start_year,appointment_seq,is_first_appointment
A00011,w00259,Gouvernement Chahed,TN-16,Gouvernement Chahed,Ministre de la Fonction publique et de la Modernisation de l'administration et des politiques publiques,Kamel Morjane,Kamel Morjane,public_service_governance,minister,False,2016-01-01,2020-01-01,day,cabinet,wikipedia:fr,https://fr.wikipedia.org/wiki/Gouvernement_Chahed,medium,,Al Moubadara puis Tahya Tounes,,,Q1043040,False,1461.0,False,"Public service, administrative reform and governance",service,3,second_republic,Béji Caïd Essebsi,Youssef Chahed,2016.0,8,False
A00012,w01472,Gouvernement Chahed,TN-16,حكومة يوسف الشاهد,وزير الوظيفة العمومية وتحديث الإدارة والسياسات العمومية,كمال مرجان,كمال مرجان,public_service_governance,minister,False,2016-08-27,2020-02-27,day,cabinet,wikipedia:ar,https://ar.wikipedia.org/wiki/حكومة_يوسف_الشاهد,medium,,,,,Q1043040,False,1279.0,False,"Public service, administrative reform and governance",service,3,second_republic,Béji Caïd Essebsi,Youssef Chahed,2016.0,9,False
A00013,w00276,Gouvernement Chahed,TN-16,Gouvernement Chahed,"Secrétaire d'État auprès du ministre du Commerce, chargé du Commerce intérieur",Samir Bechouel,Samir Bechouel,interior,secretary_of_state,False,2016-01-01,2020-01-01,day,cabinet,wikipedia:fr,https://fr.wikipedia.org/wiki/Gouvernement_Chahed,medium,,Machrouu Tounes,,,Q104602558,False,1461.0,False,Interior,sovereign,5,second_republic,Béji Caïd Essebsi,Youssef Chahed,2016.0,1,True
A00014,w00986,Gouvernement Mechichi,TN-18,Gouvernement Mechichi,Ministre du Tourisme,Habib Ammar,Habib Ammar (1967),tourism_handicrafts,minister,False,2020-01-01,2021-01-01,day,cabinet,wikipedia:fr,https://fr.wikipedia.org/wiki/Gouvernement_Mechichi,medium,,Indépendant,,,Q104821906,False,366.0,False,Tourism and handicrafts,economic,3,second_republic,Kaïs Saïed,Hichem Mechichi,2020.0,1,True
A00015,w01013,Gouvernement Mechichi,TN-18,Gouvernement Mechichi,Ministre du TourismeMinistre des Affaires culturelles (intérim),Habib Ammar,Habib Ammar (1967),tourism_handicrafts,minister,False,2020-01-01,2021-01-01,day,cabinet,wikipedia:fr,https://fr.wikipedia.org/wiki/Gouvernement_Mechichi,medium,,Indépendant,,,Q104821906,False,366.0,False,Tourism and handicrafts,economic,3,second_republic,Kaïs Saïed,Hichem Mechichi,2020.0,2,False
A00016,d03440,TN-18,TN-18,,ministre du Tourisme,Habib Ammar,,tourism_handicrafts,minister,False,2020-09-02,2021-10-11,day,statement,wikidata,http://www.wikidata.org/entity/statement/Q104821906-906D6BBB-5B75-4CB7-9E95-D94DADFE5DA3,high,,,Mohamed Ali Toumi,Mohamed Moez Belhassine,Q104821906,False,404.0,False,Tourism and handicrafts,economic,3,second_republic,Kaïs Saïed,Hichem Mechichi,2020.0,3,False
A00017,d03139,TN-18,TN-18,,ministre de la Culture,Habib Ammar,,culture,minister,False,2020-10-05,2021-10-11,day,statement,wikidata,http://www.wikidata.org/entity/statement/Q104821906-2DE500C3-A9D1-477C-ACB8-8D0A7BB100BC,high,,,,,Q104821906,False,371.0,False,Cultural affairs,social,3,second_republic,Kaïs Saïed,Hichem Mechichi,2020.0,4,False
A00018,w02151,Gouvernement Mechichi,TN-18,حكومة هشام المشيشي,وزيرة لدى رئيس الحكومة مكلفة بالوظيفة العمومية,حسناء بن سليمان,حسناء بن سليمان,public_service_governance,head_of_government,False,2020-09-02,2021-10-11,day,cabinet,wikipedia:ar,https://ar.wikipedia.org/wiki/حكومة_هشام_المشيشي,medium,,,,,Q104828106,False,404.0,False,"Public service, administrative reform and governance",service,0,second_republic,Kaïs Saïed,Hichem Mechichi,2020.0,1,True
A00019,d02638,TN-18,TN-18,,ministre de la Justice,Hasna Ben Slimane,,justice,minister,False,2021-02-15,2021-07-26,day,statement,wikidata,http://www.wikidata.org/entity/statement/Q104828106-6850DC3A-7BAA-4896-A778-EDF490D79233,high,,,,,Q104828106,False,161.0,False,Justice,sovereign,3,second_republic,Kaïs Saïed,Hichem Mechichi,2021.0,2,False
A00020,d02439,TN-18,TN-18,,porte-parole du gouvernement tunisien,Hasna Ben Slimane,,other,minister,False,2021-03-08,2021-07-26,day,statement,wikidata,http://www.wikidata.org/entity/statement/Q104828106-5870F457-0F34-41D7-8CB8-F001602F605A,high,,,,,Q104828106,False,140.0,False,,,3,second_republic,Kaïs Saïed,Hichem Mechichi,2021.0,3,False
A00021,w01010,Gouvernement Mechichi,TN-18,Gouvernement Mechichi,Ministre des Domaines de l'État et des Affaires foncières,Abdellatif Missaoui,Abdellatif Missaoui,state_property,minister,False,2020-01-01,2021-01-01,day,cabinet,wikipedia:fr,https://fr.wikipedia.org/wiki/Gouvernement_Mechichi,medium,,Indépendant,,,Q104873425,False,366.0,False,State property and land affairs,economic,3,second_republic,Kaïs Saïed,Hichem Mechichi,2020.0,1,True
A00022,w00221,Gouvernement Chahed,TN-16,Gouvernement Chahed,"Ministre auprès du chef du gouvernement chargé des Relations avec les instances constitutionnelles, la société civile et les organisations des droits de l'homme",Mehdi Ben Gharbia,Mehdi Ben Gharbia,relations_parliament,minister,False,2016-01-01,2020-01-01,day,cabinet,wikipedia:fr,https://fr.wikipedia.org/wiki/Gouvernement_Chahed,medium,,Alliance démocratique puis indépendant,,,Q10514449,False,1461.0,False,Relations with parliament and constitutional bodies,service,3,second_republic,Béji Caïd Essebsi,Youssef Chahed,2016.0,1,True
A00023,w01431,Gouvernement Chahed,TN-16,حكومة يوسف الشاهد,وزير مكلف بالعلاقة مع مجلس نواب الشعب,المهدي بن غربية,المهدي بن غربية,relations_parliament,minister,False,2016-08-27,2020-02-27,day,cabinet,wikipedia:ar,https://ar.wikipedia.org/wiki/حكومة_يوسف_الشاهد,medium,,التحالف الديمقراطي,,,Q10514449,False,1279.0,False,Relations with parliament and constitutional bodies,service,3,second_republic,Béji Caïd Essebsi,Youssef Chahed,2016.0,2,False
A00024,w01000,Gouvernement Mechichi,TN-18,Gouvernement Mechichi,Ministre de l'Intérieur,Walid Dhahbi,Walid Dhahbi,interior,minister,False,2020-01-01,2021-01-01,day,cabinet,wikipedia:fr,https://fr.wikipedia.org/wiki/Gouvernement_Mechichi,medium,,Indépendant,,,Q105197959,False,366.0,False,Interior,sovereign,3,second_republic,Kaïs Saïed,Hichem Mechichi,2020.0,1,True
A00025,w00220,Gouvernement Chahed,TN-16,Gouvernement Chahed,Ministre auprès du chef du gouvernement chargé des Relations avec le Parlement,Iyed Dahmani,Iyed Dahmani,relations_parliament,minister,False,2016-01-01,2020-01-01,day,cabinet,wikipedia:fr,https://fr.wikipedia.org/wiki/Gouvernement_Chahed,medium,,Al Joumhouri,,,Q10591389,False,1461.0,False,Relations with parliament and constitutional bodies,service,3,second_republic,Béji Caïd Essebsi,Youssef Chahed,2016.0,1,True
A00026,w01430,Gouvernement Chahed,TN-16,حكومة يوسف الشاهد,وزير العلاقة مع الهيئات الدستورية والمجتمع المدني وحقوق الإنسان,إياد الدهماني,إياد الدهماني,human_rights,minister,False,2016-08-27,2020-02-27,day,cabinet,wikipedia:ar,https://ar.wikipedia.org/wiki/حكومة_يوسف_الشاهد,medium,,الحزب الجمهوري,,,Q10591389,False,1279.0,False,Human rights and transitional justice,service,3,second_republic,Béji Caïd Essebsi,Youssef Chahed,2016.0,2,False
A00027,w01493,Gouvernement Chahed,TN-16,حكومة يوسف الشاهد,وزير لدى رئيس الحكومة مكلف بالعلاقة مع مجلس نواب الشعب,إياد الدهماني,إياد الدهماني,relations_parliament,head_of_government,False,2016-08-27,2020-02-27,day,cabinet,wikipedia:ar,https://ar.wikipedia.org/wiki/حكومة_يوسف_الشاهد,medium,,مستقل,,,Q10591389,False,1279.0,False,Relations with parliament and constitutional bodies,service,0,second_republic,Béji Caïd Essebsi,Youssef Chahed,2016.0,3,False
A00028,d02440,TN-16,TN-16,,porte-parole du gouvernement tunisien,Iyed Dahmani,,other,minister,False,2018-11-05,2019-11-07,day,statement,wikidata,http://www.wikidata.org/entity/statement/Q10591389-075F6BF7-E93E-4A8B-A472-F6A48567E144,high,,,,,Q10591389,False,367.0,False,,,3,second_republic,Béji Caïd Essebsi,Youssef Chahed,2018.0,4,False
A00029,w00612,Gouvernement Ghannouchi II,TN-10,Gouvernement Ghannouchi II,Ministre auprès du Premier ministre,Premier ministre,Chef du gouvernement tunisien,presidency_affairs,minister,False,2011-01-01,2011-01-01,day,cabinet,wikipedia:fr,https://fr.wikipedia.org/wiki/Gouvernement_Ghannouchi_II,medium,,UGTT,,,Q1064106,False,0.0,False,Presidency / premiership affairs,service,3,ben_ali,Zine El Abidine Ben Ali,Mohamed Ghannouchi,2011.0,1,True
A00030,w00632,Gouvernement Ghannouchi II,TN-10,Gouvernement Ghannouchi II,Ministrechargé des Réformes économiques et sociales et de la Coordination avec les ministères concernés,Premier ministre,Chef du gouvernement tunisien,other,minister,False,2011-01-01,2011-01-01,day,cabinet,wikipedia:fr,https://fr.wikipedia.org/wiki/Gouvernement_Ghannouchi_II,medium,,Indépendant,,,Q1064106,False,0.0,False,,,3,ben_ali,Zine El Abidine Ben Ali,Mohamed Ghannouchi,2011.0,2,False
A00031,d03441,TN-16,TN-16,,delegate of the Government of the Generalitat of Catalonia in Northern Africa,Ahmed Benallal Benallal,,other,minister,False,2019-10-08,2019-11-01,day,statement,wikidata,http://www.wikidata.org/entity/statement/Q106548958-1783800f-4db1-116b-de57-5ed671261f03,high,,,,,Q106548958,False,24.0,False,,,3,second_republic,Mohamed Ennaceur,Youssef Chahed,2019.0,1,True
A00032,d03442,TN-16,TN-16,,delegate of the Government of the Generalitat of Catalonia in Northern Africa,Ahmed Benallal Benallal,,other,minister,False,2020-01-21,2023-10-01,day,statement,wikidata,http://www.wikidata.org/entity/statement/Q106548958-ed4f5e0c-4c7b-9fc8-8ca6-05133304231a,high,,,,Habiba El Mouali Benomar,Q106548958,False,1349.0,False,,,3,second_republic,Kaïs Saïed,Youssef Chahed,2020.0,2,False
A00033,d02838,TN-18,TN-18,,ministre de l'Intérieur,Ridha Gharsalloui,,interior,minister,False,2021-07-29,2021-10-11,day,statement,wikidata,http://www.wikidata.org/entity/statement/Q107707866-20b0162d-4373-f888-1ab7-7d7d715fc4dc,high,,,Khaled Yahyaoui,Taoufik Charfeddine,Q107707866,False,74.0,False,Interior,sovereign,3,saied_exception,Kaïs Saïed,Hichem Mechichi,2021.0,1,True
A00034,w00061,Gouvernement Bouden/Hachani/Madouri/Zaafrani,TN-20,Gouvernement Bouden/Hachani/Madouri/Zaafrani,Ministre des Finances,Sihem Boughdiri,Sihem Boughdiri,finance,minister,False,2021-01-01,2024-08-07,day,cabinet,wikipedia:fr,https://fr.wikipedia.org/wiki/Gouvernement_Bouden/Hachani/Madouri/Zaafrani,medium,,Indépendante,,,Q108159069,False,1314.0,False,Finance,sovereign,3,second_republic,Kaïs Saïed,Ahmed Hachani,2021.0,1,True
A00035,d02639,TN-18,TN-18,,ministre des Finances,Sihem Boughdiri,,finance,minister,False,2021-08-02,2025-02-05,day,statement,wikidata,http://www.wikidata.org/entity/statement/Q108159069-66916665-99B2-4C25-8CC1-426EB1D2665A,high,,,Ali Kooli,Mechket Slama,Q108159069,False,1283.0,False,Finance,sovereign,3,saied_exception,Kaïs Saïed,Hichem Mechichi,2021.0,2,False
A00036,d02833,TN-20,TN-20,,ministre de l'Économie et de la Planification,Sihem Boughdiri,,economy_planning,minister,False,2023-10-17,2024-01-24,day,statement,wikidata,http://www.wikidata.org/entity/statement/Q108159069-4045de74-437c-00d4-159a-1cdbdf6bdeab,high,,,Samir Saïed,Feryel Ouerghi,Q108159069,False,99.0,False,Economy and planning,economic,3,saied_exception,Kaïs Saïed,Ahmed Hachani,2023.0,3,False
A00037,w00073,Gouvernement Bouden/Hachani/Madouri/Zaafrani,TN-20,Gouvernement Bouden/Hachani/Madouri/Zaafrani,Ministre des Technologies de la communication,Nizar Ben Néji,Nizar Ben Néji,ict,minister,False,2021-01-01,2024-08-07,day,cabinet,wikipedia:fr,https://fr.wikipedia.org/wiki/Gouvernement_Bouden/Hachani/Madouri/Zaafrani,medium,,Indépendant,,,Q108163613,False,1314.0,False,Communication technologies and digital economy,service,3,second_republic,Kaïs Saïed,Ahmed Hachani,2021.0,1,True
A00038,d03238,TN-18,TN-18,,ministre des Technologies de la communication,Nizar Ben Néji,,ict,minister,False,2021-08-02,2024-08-25,day,statement,wikidata,http://www.wikidata.org/entity/statement/Q108163613-E2C1C66B-158C-401C-B97D-4A859160555D,high,,,Mohamed Fadhel Kraiem,,Q108163613,False,1119.0,False,Communication technologies and digital economy,service,3,saied_exception,Kaïs Saïed,Hichem Mechichi,2021.0,2,False
A00039,w00056,Gouvernement Bouden/Hachani/Madouri/Zaafrani,TN-20,Gouvernement Bouden/Hachani/Madouri/Zaafrani,Chef du gouvernement,Najla Bouden,Najla Bouden,head_of_government,head_of_government,False,2021-01-01,2024-08-07,day,cabinet,wikipedia:fr,https://fr.wikipedia.org/wiki/Gouvernement_Bouden/Hachani/Madouri/Zaafrani,medium,,Indépendante,,,Q108741355,False,1314.0,False,Head of government,sovereign,0,second_republic,Kaïs Saïed,Ahmed Hachani,2021.0,1,True
A00040,s00020,TN-19,TN-19,,Head Of Government,Najla Bouden,Gouvernement Najla Bouden,head_of_government,head_of_government,False,2021-10-11,2023-08-01,day,spine,spine,config/cabinets.yml,high,,,,,Q108741355,False,659.0,False,Head of government,sovereign,0,saied_exception,Kaïs Saïed,Najla Bouden,2021.0,2,False
A00041,d02441,TN-19,TN-19,,chef du gouvernement tunisien,Najla Bouden,,head_of_government,head_of_government,False,2021-10-11,2023-08-01,day,statement,wikidata,http://www.wikidata.org/entity/statement/Q108741355-552FC709-74DB-4EE4-9CD5-4420AFB9C5CD,high,,,Hichem Mechichi,Ahmed Hachani,Q108741355,False,659.0,False,Head of government,sovereign,0,saied_exception,Kaïs Saïed,Najla Bouden,2021.0,3,False
A00042,d02839,TN-18,TN-18,,ministre de l'Intérieur,Khaled Yahyaoui,,interior,minister,False,2021-07-26,2021-07-29,day,statement,wikidata,http://www.wikidata.org/entity/statement/Q108750786-9574e0f2-485b-08e9-ec26-7fcdc55da04b,high,,,,,Q108750786,False,3.0,False,Interior,sovereign,3,saied_exception,Kaïs Saïed,Hichem Mechichi,2021.0,1,True
A00043,w00062,Gouvernement Bouden/Hachani/Madouri/Zaafrani,TN-20,Gouvernement Bouden/Hachani/Madouri/Zaafrani,Ministre de l'Économie et de la Planification,Samir Saïed,Samir Saïed,economy_planning,minister,False,2021-01-01,2024-08-07,day,cabinet,wikipedia:fr,https://fr.wikipedia.org/wiki/Gouvernement_Bouden/Hachani/Madouri/Zaafrani,medium,,Indépendant,,,Q108865358,False,1314.0,False,Economy and planning,economic,3,second_republic,Kaïs Saïed,Ahmed Hachani,2021.0,1,True
A00044,d02739,TN-19,TN-19,,ministre de l'Économie et de la Planification,Samir Saïed,,economy_planning,minister,False,2021-10-11,2023-10-17,day,statement,wikidata,http://www.wikidata.org/entity/statement/Q108865358-B476C004-0415-4F7D-8276-684B6F8426F1,high,,,,,Q108865358,False,736.0,False,Economy and planning,economic,3,saied_exception,Kaïs Saïed,Najla Bouden,2021.0,2,False
A00045,w00058,Gouvernement Bouden/Hachani/Madouri/Zaafrani,TN-20,Gouvernement Bouden/Hachani/Madouri/Zaafrani,Ministre de la Défense nationale,Imed Memmich,Imed Memmich,defence,minister,False,2021-01-01,2024-08-07,day,cabinet,wikipedia:fr,https://fr.wikipedia.org/wiki/Gouvernement_Bouden/Hachani/Madouri/Zaafrani,medium,,Indépendant,,,Q108883556,False,1314.0,False,Defence,sovereign,3,second_republic,Kaïs Saïed,Ahmed Hachani,2021.0,1,True
A00046,d02740,TN-19,TN-19,,ministre de la Défense,Imed Memmich,,defence,minister,False,2021-10-11,2024-08-25,day,statement,wikidata,http://www.wikidata.org/entity/statement/Q108883556-A0BC7E83-02E0-40F6-931B-B436368357FD,high,,,,Khaled Sehili,Q108883556,False,1049.0,False,Defence,sovereign,3,saied_exception,Kaïs Saïed,Najla Bouden,2021.0,2,False
A00047,w00065,Gouvernement Bouden/Hachani/Madouri/Zaafrani,TN-20,Gouvernement Bouden/Hachani/Madouri/Zaafrani,"Ministre de l'Agriculture, des Ressources hydrauliques et de la Pêche",Mahmoud Elyes Hamza,Mahmoud Elyes Hamza,agriculture,minister,False,2021-01-01,2024-08-07,day,cabinet,wikipedia:fr,https://fr.wikipedia.org/wiki/Gouvernement_Bouden/Hachani/Madouri/Zaafrani,medium,,Indépendant,,,Q108892344,False,1314.0,False,Agriculture and water resources,economic,3,second_republic,Kaïs Saïed,Ahmed Hachani,2021.0,1,True
A00048,d03444,TN-19,TN-19,,ministre de l'Agriculture,Mahmoud Elyes Hamza,,agriculture,minister,False,2021-10-11,2023-01-30,day,statement,wikidata,http://www.wikidata.org/entity/statement/Q108892344-6D567D8D-390A-4B11-86A8-8264C2F94BDF,high,,,Mohamed Fadhel Kraiem,Abdelmonem Belati,Q108892344,False,476.0,False,Agriculture and water resources,economic,3,saied_exception,Kaïs Saïed,Najla Bouden,2021.0,2,False
A00049,w00066,Gouvernement Bouden/Hachani/Madouri/Zaafrani,TN-20,Gouvernement Bouden/Hachani/Madouri/Zaafrani,Ministre des Affaires sociales,Malek Ezzahi,Malek Ezzahi,social_affairs,minister,False,2021-01-01,2024-08-07,day,cabinet,wikipedia:fr,https://fr.wikipedia.org/wiki/Gouvernement_Bouden/Hachani/Madouri/Zaafrani,medium,,Indépendant,,,Q108892347,False,1314.0,False,Social affairs,social,3,second_republic,Kaïs Saïed,Ahmed Hachani,2021.0,1,True
A00050,d03038,TN-19,TN-19,,ministre des Affaires sociales,Malek Ezzahi,,social_affairs,minister,False,2021-10-11,2024-05-25,day,statement,wikidata,http://www.wikidata.org/entity/statement/Q108892347-9831F2DE-819F-428E-815C-56F0E5F9F1F3,high,,,Mohamed Trabelsi,Kamel Madouri,Q108892347,False,957.0,False,Social affairs,social,3,saied_exception,Kaïs Saïed,Najla Bouden,2021.0,2,False
A00051,w00072,Gouvernement Bouden/Hachani/Madouri/Zaafrani,TN-20,Gouvernement Bouden/Hachani/Madouri/Zaafrani,Ministre du Transport,Rabie Majidi,Rabie Majidi,transport,minister,False,2021-01-01,2024-08-07,day,cabinet,wikipedia:fr,https://fr.wikipedia.org/wiki/Gouvernement_Bouden/Hachani/Madouri/Zaafrani,medium,,Indépendant,,,Q108892351,False,1314.0,False,Transport,economic,3,second_republic,Kaïs Saïed,Ahmed Hachani,2021.0,1,True
A00052,d03039,TN-19,TN-19,,ministre du Transport,Rabie Majidi,,transport,minister,False,2021-10-11,,day,statement,wikidata,http://www.wikidata.org/entity/statement/Q108892351-8816A513-4870-43F0-A906-9C0268F30112,high,,,,,Q108892351,False,1780.0,True,Transport,economic,3,saied_exception,Kaïs Saïed,Najla Bouden,2021.0,2,False
A00053,w00078,Gouvernement Bouden/Hachani/Madouri/Zaafrani,TN-20,Gouvernement Bouden/Hachani/Madouri/Zaafrani,Ministre des Affaires religieuses,Ibrahim Chaibi,Ibrahim Chaibi,religious_affairs,minister,False,2021-01-01,2024-08-07,day,cabinet,wikipedia:fr,https://fr.wikipedia.org/wiki/Gouvernement_Bouden/Hachani/Madouri/Zaafrani,medium,,Indépendant,,,Q108892355,False,1314.0,False,Religious affairs,social,3,second_republic,Kaïs Saïed,Ahmed Hachani,2021.0,1,True
A00054,d03143,TN-19,TN-19,,ministre des Affaires religieuses,Ibrahim Chaibi,,religious_affairs,minister,False,2021-10-11,2024-06-21,day,statement,wikidata,http://www.wikidata.org/entity/statement/Q108892355-4D631BBA-2F40-4A39-A36E-99AE19F7F484,high,,,Ahmed Adhoum,Ahmed Bouhali,Q108892355,False,984.0,False,Religious affairs,social,3,saied_exception,Kaïs Saïed,Najla Bouden,2021.0,2,False
A00055,w00064,Gouvernement Bouden/Hachani/Madouri/Zaafrani,TN-20,Gouvernement Bouden/Hachani/Madouri/Zaafrani,Ministre du Commerce et du Développement des exportations,Fadhila Rebhi,Fadhila Rebhi,trade,minister,False,2021-01-01,2024-08-07,day,cabinet,wikipedia:fr,https://fr.wikipedia.org/wiki/Gouvernement_Bouden/Hachani/Madouri/Zaafrani,medium,,Indépendante,,,Q108892359,False,1314.0,False,Trade,economic,3,second_republic,Kaïs Saïed,Ahmed Hachani,2021.0,1,True
A00056,d02741,TN-19,TN-19,,ministre du Commerce,Fadhila Rebhi,,trade,minister,False,2021-10-11,2023-01-06,day,statement,wikidata,http://www.wikidata.org/entity/statement/Q108892359-3BBB93A8-3150-487D-95C2-EA5F21D10899,high,,,Mohamed Bousaïd,Kalthoum Ben Rejeb,Q108892359,False,452.0,False,Trade,economic,3,saied_exception,Kaïs Saïed,Najla Bouden,2021.0,2,False
A00057,w00063,Gouvernement Bouden/Hachani/Madouri/Zaafrani,TN-20,Gouvernement Bouden/Hachani/Madouri/Zaafrani,"Ministre de l'Industrie, de l'Énergie et des Mines",Neila Gonji,Neila Gonji,industry_energy,minister,False,2021-01-01,2024-08-07,day,cabinet,wikipedia:fr,https://fr.wikipedia.org/wiki/Gouvernement_Bouden/Hachani/Madouri/Zaafrani,medium,,Indépendante,,,Q108892363,False,1314.0,False,"Industry, energy and mines",economic,3,second_republic,Kaïs Saïed,Ahmed Hachani,2021.0,1,True
A00058,d03144,TN-19,TN-19,,ministre de l'Énergie et des Mines,Neila Gonji,,industry_energy,minister,False,2021-10-11,2023-05-04,day,statement,wikidata,http://www.wikidata.org/entity/statement/Q108892363-BDEE890F-D6E1-41A8-92B4-BB8DB8B3567E,high,,,,,Q108892363,False,570.0,False,"Industry, energy and mines",economic,3,saied_exception,Kaïs Saïed,Najla Bouden,2021.0,2,False
A00059,d03339,TN-19,TN-19,,ministre de l'Industrie,Neila Gonji,,industry_energy,minister,False,2021-10-11,2023-05-04,day,statement,wikidata,http://www.wikidata.org/entity/statement/Q108892363-EB06ECB6-9A25-4B2E-9C1E-FA93352002A5,high,,,,,Q108892363,False,570.0,False,"Industry, energy and mines",economic,3,saied_exception,Kaïs Saïed,Najla Bouden,2021.0,3,False
A00060,w00077,Gouvernement Bouden/Hachani/Madouri/Zaafrani,TN-20,Gouvernement Bouden/Hachani/Madouri/Zaafrani,Ministre du Tourisme,Mohamed Moez Belhassine,Mohamed Moez Belhassine,tourism_handicrafts,minister,False,2021-01-01,2024-08-07,day,cabinet,wikipedia:fr,https://fr.wikipedia.org/wiki/Gouvernement_Bouden/Hachani/Madouri/Zaafrani,medium,,Indépendant,,,Q108892366,False,1314.0,False,Tourism and handicrafts,economic,3,second_republic,Kaïs Saïed,Ahmed Hachani,2021.0,1,True
